artist,tags,album,year,record_label,title,lyrics
Charlie Brown Jr,"['Pop/Rock', 'Rap', 'Rock']",La Familia 013,2013,Som Livre,Um Dia a Gente Se Encontra,"['um', 'dia', 'na', 'praia', 'a', 'gente', 'jurou', 'ficar', 'junto', 'pra', 'sempre', 'depois', 'tudo', 'mudou', 'eram', 'portas', 'abertas', 'que', 'depois', 'se', 'fecharam', 'o', 'tempo', 'passou', 'e', 'as', 'coisas', 'mudaram', 'separaram', 'a', 'gente', 'as', 'circunstâncias', 'e', 'as', 'coisas', 'as', 'circunstâncias', 'e', 'as', 'coisas', 'então', 'vamos', 'viver', 'e', 'um', 'dia', 'a', 'gente', 'se', 'encontra', 'então', 'vamos', 'viver', 'e', 'um', 'dia', 'a', 'gente', 'se', 'encontra', 'então', 'vamos', 'viver', 'e', 'um', 'dia', 'a', 'gente', 'se', 'encontra', 'então', 'vamos', 'viver', 'e', 'um', 'dia', 'a', 'gente', 'se', 'encontra', 'as', 'ruas', 'desertas', 'conflitos', 'internos', 'vivendo', 'um', 'sonho', 'que', 'não', 'é', 'só', 'meu', 'saudade', 'de', 'casa', 'que', 'grande', 'ironia', 'meu', 'tempo', 'agora', 'não', 'é', 'mais', 'só', 'meu', 'e', 'você', 'não', 'entende', 'a', 'ação', 'do', 'tempo', 'e', 'as', 'coisas', 'as', 'circunstâncias', 'e', 'as', 'coisas', 'então', 'vamos', 'viver', 'e', 'um', 'dia', 'a', 'gente', 'se', 'encontra', 'então', 'vamos', 'viver', 'e', 'um', 'dia', 'a', 'gente', 'se', 'encontra', 'então', 'vamos', 'viver', 'e', 'um', 'dia', 'a', 'gente', 'se', 'encontra', 'então', 'vamos', 'viver', 'e', 'um', 'dia', 'a', 'gente', 'se', 'encontra', 'a', 'liberdade', 'é', 'essencial', 'pra', 'mim', 'felicidade', 'é', 'essencial', 'pra', 'mim', 'se', 'quem', 'eu', 'amo', 'tem', 'amor', 'por', 'mim', 'eu', 'sei', 'que', 'ainda', 'estamos', 'longe', 'do', 'fim']"
Charlie Brown Jr,"['Pop/Rock', 'Rap', 'Rock']",Música Popular Caiçara - Ao Vivo,2012,Radar Records,Resolve O Meu Problema Aí,"['1234', 'antigamente', 'eu', 'via', 'as', 'coisas', 'de', 'outro', 'modo', 'criei', 'problemas', 'pra', 'você', 'e', 'pra', 'mim', 'e', 'por', 'falar', 'em', 'problemas', 'espero', 'que', 'você', 'esteja', 'cuidando', 'dos', 'seus', 'se', 'você', 'gosta', 'de', 'falar', 'sobre', 'problemas', 'eu', 'tenho', 'um', 'nome', 'pra', 'você', 'zé', 'mané', 'resolve', 'o', 'meu', 'problema', 'aí', 'todo', 'mundo', 'têm', 'problemas', 'se', 'você', 'falar', 'de', 'mim', 'eu', 'digo', 'o', 'mesmo', 'de', 'você', 'se', 'quiser', 'cuidar', 'dos', 'meu', 'problema', 'então', 'resolve', 'ele', 'prá', 'mim', 'alguém', 'esteve', 'aqui', 'e', 'abalou', 'a', 'minha', 'paz', 'mas', 'de', 'qualquer', 'modo', 'estarei', 'bem', 'antigamente', 'eu', 'via', 'as', 'coisas', 'de', 'outro', 'modo', 'criei', 'problemas', 'pra', 'você', 'e', 'pra', 'mim', 'e', 'por', 'falar', 'em', 'problemas', 'espero', 'que', 'você', 'esteja', 'cuidando', 'dos', 'seus', 'que', 'eu', 'tô', 'cuidando', 'do', 'meu', 'se', 'você', 'gosta', 'de', 'falar', 'sobre', 'problemas', 'eu', 'tenho', 'um', 'nome', 'pra', 'você', 'zé', 'mané', 'zipiridum', 'o', 'cara', 'vai', 'bombar', 'apenas', 'um', 'milhão', 'o', 'cara', 'vai', 'tirar', 'então', 'resolve', 'o', 'meu', 'problema', 'aí']"
Charlie Brown Jr,"['Pop/Rock', 'Rap', 'Rock']",Camisa 10 Joga Bola Até na Chuva,2009,Sony Music,Dona Do Meu Pensamento,"['seremos', 'donos', 'do', 'nosso', 'amanhã', 'se', 'estivermos', 'unidos', 'em', 'sintonia', 'com', 'os', 'nossos', 'sonhos', 'mesmo', 'se', 'não', 'formos', 'iguais', 'pois', 'não', 'somos', 'iguais', 'eu', 'caminho', 'no', 'meio', 'da', 'multidão', 'eu', 'me', 'sinto', 'à', 'vontade', 'pois', 'partilhamos', 'noites', 'ruas', 'e', 'sonhos', 'como', 'se', 'fossemos', 'iguais', 'pois', 'me', 'faz', 'tocar', 'o', 'céu', 'ver', 'você', 'sorrir', 'vem', 'lua', 'vem', 'vem', 'dançar', 'pra', 'mim', 'ninguém', 'em', 'seu', 'lugar', 'então', 'deixa', 'a', 'noite', 'seguir', 'bom', 'poder', 'brindar', 'que', 'você', 'está', 'aqui', 'dona', 'do', 'meu', 'pensamento', 'você', 'nossa', 'história', 'dona', 'do', 'meu', 'pensamento', 'você', 'nossa', 'história', 'observados', 'por', 'dragões', 'ferozes', 'lutamos', 'pra', 'sobreviver', 'mas', 'precisamos', 'realmente', 'saber', 'o', 'real', 'valor', 'que', 'a', 'vida', 'tem', 'eu', 'caminho', 'no', 'meio', 'da', 'multidão', 'eu', 'me', 'sinto', 'à', 'vontade', 'pois', 'partilhamos', 'noites', 'ruas', 'e', 'sonhos', 'como', 'se', 'fossemos', 'iguais', 'pois', 'me', 'faz', 'tocar', 'o', 'céu', 'ver', 'você', 'sorrir', 'vem', 'lua', 'vem', 'vem', 'dançar', 'pra', 'mim', 'ninguém', 'em', 'seu', 'lugar', 'então', 'deixa', 'a', 'noite', 'seguir', 'bom', 'poder', 'brindar', 'que', 'você', 'está', 'aqui', 'dona', 'do', 'meu', 'pensamento', 'você', 'nossa', 'história', 'dona', 'do', 'meu', 'pensamento', 'você', 'nossa', 'história', 'eu', 'sempre', 'vou', 'te', 'amar', 'eu', 'sei', 'que', 'eu', 'sempre', 'vou', 'te', 'amar', 'dona', 'do', 'meu', 'pensamento', 'você', 'nossa', 'história', 'dona', 'do', 'meu', 'pensamento', 'você', 'nossa', 'história', 'nossa', 'história', 'nossa', 'história', 'nossa', 'história', 'nossa', 'história']"
Charlie Brown Jr,"['Pop/Rock', 'Rap', 'Rock']","Ritmo, Ritual e Responsa",2007,EMI,Pontes Indestrutíveis,"['buscando', 'um', 'novo', 'rumo', 'que', 'faça', 'sentido', 'nesse', 'mundo', 'louco', 'com', 'o', 'coração', 'partido', 'eu', 'tomo', 'cuidado', 'pra', 'que', 'os', 'desequilibrados', 'não', 'abalem', 'minha', 'fé', 'pr', 'eu', 'enfrentar', 'com', 'otimismo', 'essa', 'loucura', 'os', 'homens', 'podem', 'falar', 'mas', 'os', 'anjos', 'podem', 'voar', 'quem', 'é', 'de', 'verdade', 'sabe', 'quem', 'é', 'de', 'mentira', 'não', 'menospreze', 'o', 'dever', 'que', 'a', 'consciência', 'te', 'impõe', 'não', 'deixe', 'pra', 'depois', 'valorize', 'a', 'vida', 'resgate', 'suas', 'forças', 'e', 'se', 'sinta', 'bem', 'rompendo', 'a', 'sombra', 'da', 'própria', 'loucura', 'cuide', 'de', 'quem', 'corre', 'do', 'seu', 'lado', 'e', 'quem', 'te', 'quer', 'bem', 'essa', 'é', 'a', 'coisa', 'mais', 'pura', 'fragmentos', 'da', 'realidade', 'estilo', 'mundo', 'cão', 'tem', 'gente', 'que', 'desanda', 'por', 'falta', 'de', 'opção', 'e', 'toda', 'fé', 'que', 'eu', 'tenho', 'eu', 'tô', 'ligado', 'que', 'ainda', 'é', 'pouco', 'os', 'bandido', 'de', 'verdade', 'tão', 'em', 'brasília', 'tudo', 'solto', 'eu', 'faço', 'da', 'dificuldade', 'a', 'minha', 'motivação', 'a', 'volta', 'por', 'cima', 'vem', 'na', 'continuação', 'o', 'que', 'se', 'leva', 'dessa', 'vida', 'é', 'o', 'que', 'se', 'vive', 'é', 'o', 'que', 'se', 'faz', 'saber', 'muito', 'é', 'muito', 'pouco', 'stay', 'real', 'esteja', 'em', 'paz', 'o', 'que', 'importa', 'é', 'se', 'sentir', 'bem', 'o', 'que', 'importa', 'é', 'fazer', 'o', 'bem', 'eu', 'quero', 'ver', 'meu', 'povo', 'todo', 'evoluir', 'também', 'o', 'que', 'importa', 'é', 'se', 'sentir', 'bem', 'o', 'que', 'importa', 'é', 'fazer', 'o', 'bem', 'eu', 'quero', 'ver', 'meu', 'povo', 'todo', 'prosperar', 'também', 'o', 'que', 'importa', 'é', 'se', 'sentir', 'bem', 'o', 'que', 'importa', 'é', 'fazer', 'o', 'bem', 'eu', 'quero', 'ver', 'meu', 'povo', 'todo', 'evoluir', 'também', 'o', 'que', 'importa', 'é', 'se', 'sentir', 'bem', 'resgate', 'suas', 'forças', 'e', 'se', 'sinta', 'bem', 'rompendo', 'a', 'sombra', 'da', 'própria', 'loucura', 'cuide', 'de', 'quem', 'corre', 'do', 'seu', 'lado', 'e', 'de', 'quem', 'te', 'quer', 'bem', 'essa', 'é', 'a', 'coisa', 'mais', 'pura', 'difícil', 'é', 'entender', 'e', 'viver', 'num', 'paraíso', 'perdido', 'mas', 'não', 'seja', 'mais', 'um', 'iludido', 'derrotado', 'e', 'sem', 'juízo', 'então', 'resgate', 'suas', 'forças', 'e', 'se', 'sinta', 'bem', 'rompendo', 'a', 'sombra', 'da', 'própria', 'loucura', 'cuide', 'de', 'quem', 'corre', 'do', 'seu', 'lado', 'e', 'de', 'quem', 'te', 'quer', 'bem', 'essa', 'é', 'a', 'coisa', 'mais', 'pura', 'o', 'que', 'importa', 'é', 'se', 'sentir', 'bem', 'o', 'que', 'importa', 'é', 'fazer', 'o', 'bem', 'eu', 'quero', 'ver', 'meu', 'povo', 'todo', 'evoluir', 'também', 'o', 'que', 'importa', 'é', 'se', 'sentir', 'bem', 'o', 'que', 'importa', 'é', 'fazer', 'o', 'bem', 'eu', 'quero', 'ver', 'meu', 'povo', 'todo', 'prosperar', 'também', 'o', 'que', 'importa', 'é', 'se', 'sentir', 'bem', 'o', 'que', 'importa', 'é', 'fazer', 'o', 'bem', 'eu', 'quero', 'ver', 'meu', 'povo', 'todo', 'evoluir', 'também', 'o', 'que', 'importa', 'é', 'se', 'sentir', 'bem', 'viver', 'viver', 'e', 'ser', 'livre', 'saber', 'dar', 'valor', 'para', 'as', 'coisas', 'mais', 'simples', 'só', 'o', 'amor', 'constrói', 'pontes', 'indestrutíveis']"
Charlie Brown Jr,"['Pop/Rock', 'Rap', 'Rock']",Imunidade Musical,2005,,Too Fast Live Too Young Too Die,
Charlie Brown Jr,"['Pop/Rock', 'Rap', 'Rock']",Tamo Aí na Atividade,2004,,Malabarizando (Quem é de Fé Continua com a Gente),
Charlie Brown Jr,"['Pop/Rock', 'Rap', 'Rock']",Acústico MTV - Charlie Brown Jr.,2003,,Quebra Mar,"['eu', 'não', 'vou', 'mudar', 'mas', 'minha', 'vida', 'agora', 'é', 'outra', 'eu', 'vou', 'tentar', 'entender', 'o', 'que', 'sai', 'da', 'tua', 'boca', 'só', 'por', 'isso', 'vivo', 'por', 'isso', 'sem', 'isso', 'eu', 'não', 'vivo', 'pode', 'acreditar', 'rua', 'de', 'concreto', 'sangue', 'nobre', 'água', 'do', 'mar', 'dinheiro', 'na', 'mão', 'brisa', 'no', 'olhar', 'dinheiro', 'na', 'mão', 'brisa', 'no', 'olhar', 'tem', 'pra', 'manda', 'trazer', 'tem', 'tem', 'pra', 'manda', 'buscar', 'vai', 'tem', 'pra', 'mostrar', 'poder', 'tem', 'tem', 'pra', 'te', 'alucinar', 'eu', 'não', 'fico', 'dividido', 'sei', 'porque', 'tomo', 'partido', 'sistema', 'falido', 'já', 'aconteceu', 'comigo', 'eu', 'não', 'vou', 'mudar', 'mas', 'minha', 'vida', 'agora', 'é', 'outra', 'eu', 'vou', 'tentar', 'entender', 'o', 'que', 'sai', 'da', 'tua', 'boca', 'só', 'por', 'isso', 'vivo', 'por', 'isso', 'sem', 'isso', 'eu', 'não', 'vivo', 'pode', 'acreditar', 'rua', 'de', 'concreto', 'sangue', 'nobre', 'água', 'do', 'mar', 'dinheiro', 'na', 'mão', 'brisa', 'no', 'olhar', 'dinheiro', 'na', 'mão', 'brisa', 'no', 'olhar', 'o', 'que', 'não', 'pode', 'é', 'essa', 'situação', 'o', 'que', 'eu', 'não', 'gosto', 'eu', 'me', 'livro', 'e', 'digo', 'não', 'o', 'que', 'não', 'pode', 'é', 'essa', 'situação', 'o', 'que', 'eu', 'não', 'gosto', 'eu', 'me', 'livro', 'e', 'digo', 'não', 'tem', 'pra', 'manda', 'trazer', 'tem', 'tem', 'pra', 'manda', 'buscar', 'vai', 'tem', 'pra', 'mostrar', 'poder', 'tem', 'tem', 'pra', 'te', 'alucinar', 'eu', 'não', 'fico', 'dividido', 'eu', 'sei', 'porque', 'tomo', 'partido', 'sistema', 'falido', 'já', 'aconteceu', 'comigo', 'o', 'que', 'não', 'pode', 'é', 'essa', 'situação', 'o', 'que', 'eu', 'não', 'gosto', 'eu', 'me', 'livro', 'e', 'digo', 'não', 'não', 'o', 'que', 'eu', 'não', 'gosto', 'é', 'da', 'situação', 'o', 'que', 'eu', 'não', 'gosto', 'eu', 'me', 'livro', 'e', 'digo', 'não']"
Charlie Brown Jr,"['Pop/Rock', 'Rap', 'Rock']",Bocas Ordinárias,2002,,Papo Reto,"['oh', 'otário', 'eu', 'vou', 'te', 'avisar', 'o', 'teu', 'intelecto', 'é', 'de', 'mosca', 'de', 'bar', 'você', 'deixou', 'ela', 'de', 'lado', 'pra', 'falar', 'com', 'seus', 'amigos', 'sobre', 'as', 'suas', 'coisas', 'chatas', 'ela', 'deu', 'brecha', 'eu', 'me', 'aproximei', 'porque', 'eu', 'me', 'fortaleço', 'é', 'na', 'sua', 'falha', 'ela', 'estava', 'ali', 'sozinha', 'querendo', 'atenção', 'e', 'alguém', 'pra', 'conversar', 'você', 'deixou', 'ela', 'de', 'lado', 'vai', 'pagar', 'pela', 'mancada', 'pode', 'acreditar', 'então', 'já', 'era', 'eu', 'vou', 'fazer', 'de', 'um', 'jeito', 'que', 'ela', 'não', 'vai', 'esquecer', 'se', 'for', 'já', 'era', 'eu', 'vou', 'fazer', 'de', 'um', 'jeito', 'que', 'ela', 'não', 'vai', 'esquecer', 'oh', 'otário', 'eu', 'vou', 'te', 'avisar', 'intelecto', 'de', 'cu', 'é', 'rola', 'você', 'falou', 'pra', 'ela', 'que', 'eu', 'sou', 'louco', 'e', 'canto', 'mal', 'que', 'eu', 'num', 'presto', 'que', 'sou', 'um', 'marginal', 'que', 'eu', 'não', 'tenho', 'educação', 'que', 'eu', 'só', 'falo', 'palavrão', 'e', 'pra', 'socialite', 'eu', 'não', 'tenho', 'vocação', 'sei', 'que', 'isso', 'tudo', 'é', 'verdade', 'mas', 'eu', 'quero', 'que', 'se', 'foda', 'esta', 'porra', 'de', 'sociedade', 'pago', 'minhas', 'contas', 'eu', 'sou', 'limpinho', 'não', 'sou', 'como', 'você', 'filho', 'da', 'puta', 'viadinho', 'então', 'já', 'era', 'eu', 'vou', 'fazer', 'de', 'um', 'jeito', 'que', 'ela', 'não', 'vai', 'esquecer', 'se', 'for', 'já', 'era', 'eu', 'vou', 'fazer', 'de', 'um', 'jeito', 'que', 'ela', 'não', 'vai', 'esquecer', 'mexeu', 'com', 'a', 'família', 'agora', 'se', 'vira', 'segura', 'a', 'seqüência', 'essa', 'é', 'minha', 'quadrilha', 'charlie', 'brown', 'charlie', 'brown', 'charlie', 'brown', 'você', 'deixou', 'ela', 'de', 'lado', 'pra', 'falar', 'com', 'seus', 'amigos', 'sobre', 'as', 'suas', 'coisas', 'chatas', 'ela', 'deu', 'brecha', 'eu', 'me', 'aproximei', 'porque', 'eu', 'me', 'fortaleço', 'é', 'na', 'sua', 'falha', 'ela', 'estava', 'ali', 'sozinha', 'querendo', 'atenção', 'e', 'alguém', 'pra', 'conversar', 'você', 'deixou', 'ela', 'de', 'lado', 'vai', 'pagar', 'pela', 'mancada', 'pode', 'acreditar', 'então', 'já', 'era', 'eu', 'vou', 'fazer', 'de', 'um', 'jeito', 'que', 'ela', 'não', 'vai', 'esquecer', 'se', 'for', 'já', 'era', 'eu', 'vou', 'fazer', 'de', 'um', 'jeito', 'que', 'ela', 'não', 'vai', 'esquecer', 'se', 'não', 'quiser', 'ficar', 'só', 'cuide', 'dela', 'bem', 'melhor', 'ou', 'vai', 'ficar', 'só', 'o', 'pó', 'ou', 'vai', 'ficar', 'só', 'o', 'pó', 'ferro', 'na', 'boneca', 'pedrada', 'na', 'vidraça', 'tudo', 'que', 'eu', 'tenho', 'eu', 'conquistei', 'na', 'raça', 'eu', 'não', 'sou', 'simpático', 'a', 'ninguém', 'hoje', 'eu', 'vou', 'de', 'limousine', 'mas', 'eu', 'já', 'andei', 'de', 'trem']"
Charlie Brown Jr,"['Pop/Rock', 'Rap', 'Rock']",100% Charlie Brown Jr. - Abalando a Sua Fábrica,2001,,Eu Protesto,"['quase', 'todo', 'aquele', 'luxo', 'te', 'deixou', 'confuso', 'e', 'aquela', 'vida', 'fútil', 'comprou', 'mais', 'um', 'inútil', 'wwoo', 'foi', 'você', 'quem', 'colocou', 'eles', 'lá', 'mas', 'eles', 'não', 'estão', 'fazendo', 'nada', 'por', 'vocês', 'enquanto', 'o', 'povo', 'vai', 'vivendo', 'de', 'migalhas', 'eles', 'inventam', 'outro', 'imposto', 'pra', 'vocês', 'aquela', 'creche', 'que', 'deixaram', 'de', 'ajudar', 'está', 'por', 'um', 'fio', 'e', 'a', 'ganância', 'está', 'matando', 'a', 'geração', '2000', 'e', 'a', 'sua', 'tolerância', 'está', 'maior', 'do', 'que', 'nunca', 'agora', 'dormem', 'sossegados', 'os', 'caras', 'do', 'senado', 'dormem', 'sossegados', 'os', 'que', 'fizeram', 'este', 'estrago', 'dormem', 'sossegados', 'os', 'caras', 'do', 'senado', 'dormem', 'sossegados', 'os', 'que', 'pintaram', 'este', 'quadro', 'só', 'você', 'vai', 'saber', 'lidar', 'com', 'o', 'mal', 'que', 'há', 'em', 'você', 'e', 'o', 'bem', 'que', 'há', 'em', 'você', 'toda', 'a', 'miséria', 'que', 'gera', 'a', 'insegurança', 'imposta', 'a', 'você', 'que', 'oprime', 'você', 'deixe', 'de', 'ser', 'covarde', 'homem', 'deixe', 'de', 'ser', 'covarde', 'deixe', 'de', 'ser', 'covarde', 'homem', 'seja', 'homem', 'de', 'verdade', 'você', 'devia', 'dar', 'uma', 'importância', 'maior', 'pras', 'coisas', 'corriqueiras', 'da', 'vida', 'você', 'devia', 'dar', 'uma', 'importância', 'maior', 'pro', 'que', 'realmente', 'tem', 'valor', 'na', 'sua', 'vida', 'dormem', 'bem', 'despreocupados', 'os', 'caras', 'do', 'senado', 'dormem', 'dormem', 'sossegados', 'os', 'que', 'fizeram', 'este', 'estrago', 'mais', 'vale', 'a', 'liberdade', 'e', 'o', 'bem', 'que', 'ela', 'te', 'faz', 'liberdade', 'é', 'tudo', 'aquilo', 'liberdade', 'é', 'muito', 'mais', 'vem', 'vem', 'e', 'me', 'traz', 'mais', 'paz', 'quero', 'vem', 'vem', 'vem', 'e', 'me', 'traz', 'mais', 'paz', 'eu', 'quero', 'mais', 'paz', 'vem', 'e', 'me', 'traz', 'mais', 'paz']"
Charlie Brown Jr,"['Pop/Rock', 'Rap', 'Rock']",Nadando com os Tubarões,2000,BMG,Rubão,"['desempregado', 'e', 'falido', 'andava', 'pela', 'rua', 'largado', 'e', 'fudido', 'achou', 'na', 'rua', 'uma', 'carteira', 'recheada', 'de', 'dólar', 'acabou', 'se', 'a', 'miséria', 'foi', 'se', 'o', 'tempo', 'da', 'esmola', 'rubão', 'um', 'rapaz', 'vive', 'largado', 'desempregado', 'e', 'falido', 'achou', 'na', 'rua', 'uma', 'carteira', 'recheada', 'de', 'dolar', 'acabou', 'se', 'a', 'miséria', 'foi', 'se', 'o', 'tempo', 'da', 'esmola', 'rubão', 'rubão', 'pago', 'pra', 'vê', 'tcharroladrão', 'qual', 'é', 'o', 'sentido', 'da', 'vida', 'rubão', 'rubão', 'pago', 'pra', 'vê', 'tcharroladrão', 'desiludido', 'da', 'vida', 'pretty', 'bitch', 'for', 'fun', 'comprou', 'várias', 'mulheres', 'convocou', 'os', 'amigos', 'comprou', 'todo', 'o', 'sistema', 'mandou', 'matar', 'os', 'inimigos', 'catou', 'várias', 'mulheres', 'convocou', 'os', 'amigos', 'comprou', 'todo', 'o', 'sistema', 'mandou', 'matar', 'os', 'inimigos']"
