artist,tags,album,year,record_label,title,lyrics
Criolo,"['Rap', 'Hip Hop', 'MPB']",Existe Amor (com Milton Nascimento),2020,,Cais (part. Amaro Freitas),"['para', 'quem', 'quer', 'se', 'soltar', 'invento', 'o', 'cais', 'invento', 'mais', 'que', 'a', 'solidão', 'me', 'dá', 'invento', 'lua', 'nova', 'a', 'clarear', 'invento', 'o', 'amor', 'e', 'sei', 'a', 'dor', 'de', 'encontrar', 'eu', 'queria', 'ser', 'feliz', 'invento', 'o', 'mar', 'invento', 'em', 'mim', 'o', 'sonhador', 'para', 'quem', 'quer', 'me', 'seguir', 'eu', 'quero', 'mais', 'tenho', 'o', 'caminho', 'do', 'que', 'sempre', 'quis', 'e', 'um', 'saveiro', 'pronto', 'pra', 'partir', 'invento', 'o', 'cais', 'e', 'sei', 'a', 'vez', 'de', 'me', 'lançar', 'eu', 'queria', 'ser', 'feliz', 'invento', 'o', 'mar', 'invento', 'em', 'mim', 'o', 'sonhador']"
Criolo,"['Rap', 'Hip Hop', 'MPB']",Existe Amor (com Milton Nascimento),2020,,Dez Anjos,"['tanto', 'barro', 'pra', 'amassar', 'na', 'sacola', 'uma', 'ilusão', 'na', 'cabeça', 'um', 'querer', 'arma', 'e', 'ódio', 'na', 'mão', 'sete', 'chaves', 'para', 'abrir', 'sete', 'portas', 'meu', 'irmão', 'odisséia', 'sem', 'uli', 'biqueira', 'viela', 'e', 'pão', 'pega', 'a', 'pedra', 'para', 'jogar', 'na', 'lua', 'que', 'não', 'se', 'vê', 'nem', 'são', 'jorge', 'e', 'nem', 'dragão', 'vaidade', 'é', 'ilusão', 'é', 'a', 'cinza', 'do', 'umbral', 'é', 'o', 'aço', 'é', 'a', 'dor', 'é', 'um', 'pai', 'e', 'é', 'um', 'irmão', 'é', 'grená', 'sangue', 'no', 'chão', 'uma', 'alma', 'pra', 'ganhar', 'duas', 'almas', 'pra', 'perder', 'três', 'almas', 'que', 'se', 'vão', 'quatro', 'almas', 'no', 'porão', 'cinco', 'vão', 'dizer', 'calma', 'com', 'esse', 'alçapão', 'seis', 'almas', 'pra', 'tentar', 'sete', 'almas', 'dizem', 'não', 'oito', 'almas', 'pra', 'sofrer', 'nove', 'almas', 'narrarão', 'que', 'dez', 'anjos', 'vão', 'morrer', 'todos', 'sem', 'arma', 'na', 'mão', 'pega', 'a', 'pedra', 'para', 'jogar', 'na', 'lua', 'que', 'não', 'se', 'vê', 'nem', 'são', 'jorge', 'e', 'nem', 'dragão', 'vaidade', 'é', 'ilusão', 'é', 'a', 'cinza', 'do', 'umbral', 'é', 'o', 'aço', 'é', 'a', 'dor', 'é', 'um', 'pai', 'e', 'é', 'um', 'irmão', 'é', 'grená', 'sangue', 'no', 'chão']"
Criolo,"['Rap', 'Hip Hop', 'MPB']",Existe Amor (com Milton Nascimento),2020,,Não Existe Amor em SP (part. Amaro Freitas),"['não', 'existe', 'amor', 'em', 'sp', 'um', 'labirinto', 'místico', 'onde', 'os', 'grafites', 'gritam', 'não', 'dá', 'pra', 'descrever', 'numa', 'linda', 'frase', 'de', 'um', 'postal', 'tão', 'doce', 'cuidado', 'com', 'doce', 'são', 'paulo', 'é', 'um', 'buquê', 'buquês', 'são', 'flores', 'mortas', 'num', 'lindo', 'arranjo', 'arranjo', 'lindo', 'feito', 'pra', 'você', 'não', 'existe', 'amor', 'em', 'sp', 'os', 'bares', 'estão', 'cheios', 'de', 'almas', 'tão', 'vazias', 'a', 'ganância', 'vibra', 'a', 'vaidade', 'excita', 'devolva', 'a', 'minha', 'vida', 'e', 'morra', 'afogada', 'em', 'teu', 'próprio', 'mar', 'de', 'fel', 'aqui', 'ninguém', 'vai', 'pro', 'céu', 'não', 'existe', 'amor', 'em', 'sp', 'um', 'labirinto', 'místico', 'onde', 'os', 'grafites', 'gritam', 'não', 'dá', 'pra', 'descrever', 'numa', 'linda', 'frase', 'de', 'um', 'postal', 'tão', 'doce', 'cuidado', 'com', 'doce', 'são', 'paulo', 'é', 'um', 'buquê', 'buquês', 'são', 'flores', 'mortas', 'num', 'lindo', 'arranjo', 'arranjo', 'lindo', 'feito', 'pra', 'você', 'não', 'existe', 'amor', 'em', 'sp', 'os', 'bares', 'estão', 'cheios', 'de', 'almas', 'tão', 'vazias', 'a', 'ganância', 'vibra', 'a', 'vaidade', 'excita', 'devolva', 'a', 'minha', 'vida', 'e', 'morra', 'afogada', 'em', 'teu', 'próprio', 'mar', 'de', 'fel', 'aqui', 'ninguém', 'vai', 'pro', 'céu', 'não', 'precisa', 'morrer', 'pra', 'ver', 'deus', 'não', 'precisa', 'sofrer', 'pra', 'saber', 'o', 'que', 'é', 'melhor', 'pra', 'você', 'encontro', 'tuas', 'nuvens', 'em', 'cada', 'escombro', 'em', 'cada', 'esquina', 'me', 'dê', 'um', 'gole', 'de', 'vida', 'não', 'precisa', 'morrer', 'pra', 'ver', 'deus', 'não', 'precisa', 'morrer', 'pra', 'ver', 'deus', 'não', 'precisa', 'morrer', 'pra', 'ver', 'deus', 'não', 'precisa', 'morrer', 'pra', 'ver', 'deus']"
Criolo,"['Rap', 'Hip Hop', 'MPB']",Existe Amor (com Milton Nascimento),2020,,O Tambor,"['chega', 'de', 'ser', 'de', 'sofrer', 'de', 'chorar', 'mastigar', 'toda', 'desgraça', 'com', 'pão', 'saliva', 'com', 'ódio', 'num', 'prato', 'de', 'arroz', 'com', 'feijão', 'pra', 'quem', 'não', 'sabe', 'o', 'que', 'é', 'humilhação', 'o', 'meu', 'canto', 'é', 'um', 'sopro', 'de', 'um', 'soco', 'em', 'vão', 'e', 'também', 'da', 'carne', 'que', 'o', 'homem', 'comeu', 'e', 'de', 'todo', 'sangue', 'que', 'se', 'esqueceu', 'onde', 'isso', 'vai', 'dar', 'e', 'sem', 'saber', 'onde', 'isso', 'vai', 'dar', 'e', 'sem', 'saber', 'o', 'quanto', 'vai', 'doer', 'interminável', 'é', 'o', 'dia', 'em', 'que', 'a', 'fome', 'visita', 'o', 'irmão', 'pior', 'que', 'a', 'fome', 'é', 'um', 'dia', 'de', 'humilhação', 'e', 'provar', 'da', 'carne', 'que', 'o', 'homem', 'comeu', 'e', 'provar', 'do', 'sangue', 'que', 'se', 'esqueceu', 'hoje', 'o', 'tambor', 'vai', 'se', 'rebelar', 'onde', 'isso', 'vai', 'dar', 'e', 'sem', 'saber', 'onde', 'isso', 'vai', 'dar', 'e', 'sem', 'saber', 'o', 'quanto', 'vai', 'doer', 'interminável', 'é', 'o', 'dia', 'em', 'que', 'a', 'fome', 'visita', 'o', 'irmão', 'pior', 'que', 'a', 'fome', 'é', 'o', 'dia', 'de', 'humilhação', 'e', 'provar', 'da', 'carne', 'que', 'o', 'homem', 'comeu', 'e', 'provar', 'do', 'sangue', 'que', 'se', 'esqueceu', 'hoje', 'o', 'tambor', 'vai', 'se', 'rebelar', 'onde', 'isso', 'vai', 'dar']"
Criolo,"['Rap', 'Hip Hop', 'MPB']",Espiral de Ilusão,2017,,Lá Vem Você,"['lá', 'vem', 'você', 'com', 'seus', 'larará', 'lara', 'laralauê', 'larauê', 'lara', 'lara', 'larauê', 'virando', 'a', 'esquina', 'na', 'porta', 'do', 'bar', 'sol', 'de', 'meio', 'dia', 'no', 'copo', 'um', 'capote', 'pra', 'pensar', 'no', 'almoço', 'depois', 'no', 'jantar', 'sem', 'café', 'pra', 'tomar', 'esperar', 'o', 'amanhã', 'tanta', 'gente', 'na', 'porta', 'de', 'bar', 'que', 'vive', 'a', 'sorrir', 'que', 'vive', 'a', 'chorar', 'eu', 'só', 'queria', 'você', 'meu', 'benzinho', 'voltando', 'pro', 'lar', 'virando', 'a', 'esquina', 'um', 'pouco', 'de', 'ginga', 'um', 'pouco', 'de', 'malícia', 'e', 'quando', 'noite', 'vem', 'a', 'gente', 'esquece', 'a', 'preguiça', 'e', 'ela', 'vem', 'no', 'gingado', 'de', 'cá', 'de', 'lá', 'e', 'de', 'cá', 'se', 'for', 'pra', 'falar', 'da', 'conjectura', 'e', 'da', 'concepção', 'meu', 'deus', 'd', 'o', 'céu', 'maternidade', 'irmão', 'com', 'essa', 'mulher', 'pretendo', 'me', 'casar', 'pra', 'crescer', 'e', 'ter', 'sombra', 'a', 'árvore', 'tem', 'que', 'vingar', 'passa', 'o', 'tempo', 'depois', 'de', 'colar', 'passarinhos', 'pra', 'então', 'fermentar', 'a', 'semente', 'que', 'vem', 'a', 'copa', 'oferece', 'atenção', 'protege', 'do', 'sol', 'noutro', 'dia', 'o', 'irmão', 'que', 'bebeu', 'que', 'tomou', 'pra', 'esquecer', 'a', 'mulher', 'que', 'talvez', 'não', 'foi', 'merecedor', 'haja', 'lari', 'larará', 'meu', 'amigo', 'doutor']"
Criolo,"['Rap', 'Hip Hop', 'MPB']",Espiral de Ilusão,2017,,Dilúvio de Solidão,"['chove', 'lá', 'fora', 'chuva', 'de', 'saudade', 'demora', 'nostalgia', 'é', 'guarda', 'chuva', 'desse', 'irmão', 'e', 'para', 'raio', 'é', 'o', 'pobre', 'violão', 'chove', 'dentro', 'de', 'mim', 'dilúvio', 'de', 'solidão', 'angústia', 'que', 'faz', 'sofrer', 'não', 'dei', 'valor', 'a', 'meu', 'tesouro', 'quem', 'só', 'viu', 'lata', 'não', 'sabe', 'o', 'que', 'é', 'ouro', 'mas', 'chove', 'chove', 'lá', 'fora', 'chuva', 'de', 'saudade', 'demora', 'nostalgia', 'é', 'guarda', 'chuva', 'desse', 'irmão', 'e', 'para', 'raio', 'é', 'o', 'pobre', 'violão', 'chove', 'dentro', 'de', 'mim', 'dilúvio', 'de', 'solidão', 'angústia', 'que', 'faz', 'sofrer', 'pois', 'boemia', 'é', 'pra', 'poucos', 'cachaça', 'é', 'água', 'que', 'acaba', 'com', 'o', 'caboclo', 'mas', 'chove', 'chove', 'lá', 'fora', 'chuva', 'de', 'saudade', 'demora', 'nostalgia', 'é', 'guarda', 'chuva', 'desse', 'irmão', 'e', 'para', 'raio', 'é', 'o', 'pobre', 'violão', 'mas', 'chove', 'chove', 'lá', 'fora', 'chuva', 'de', 'saudade', 'demora', 'nostalgia', 'é', 'guarda', 'chuva', 'desse', 'irmão', 'e', 'para', 'raio', 'é', 'o', 'pobre', 'violão']"
Criolo,"['Rap', 'Hip Hop', 'MPB']",Espiral de Ilusão,2017,,Menino Mimado,"['refrão', 'não', 'eu', 'não', 'aceito', 'essa', 'indisciplina', 'acho', 'que', 'você', 'não', 'me', 'entendeu', 'meus', 'meninos', 'são', 'o', 'que', 'você', 'teceu', 'em', 'resistência', 'ao', 'mundo', 'que', 'deus', 'deu', 'e', 'eu', 'não', 'aceito', 'não', 'não', 'eu', 'não', 'aceito', 'essa', 'indisciplina', 'acho', 'que', 'você', 'não', 'me', 'entendeu', 'meus', 'meninos', 'são', 'o', 'que', 'você', 'teceu', 'ei', 'resistência', 'ao', 'mundo', 'que', 'deus', 'deu', 'então', 'pare', 'de', 'correr', 'na', 'esteira', 'e', 'vá', 'correr', 'na', 'rua', 'veja', 'a', 'beleza', 'da', 'vida', 'no', 'ventre', 'da', 'mulher', 'pois', 'quem', 'não', 'vive', 'em', 'verdade', 'meu', 'bem', 'flutua', 'nas', 'ilusões', 'da', 'mente', 'de', 'um', 'louco', 'qualquer', 'e', 'eu', 'não', 'aceito', 'não', 'refrão', 'não', 'eu', 'não', 'aceito', 'essa', 'indisciplina', 'acho', 'que', 'você', 'não', 'me', 'entendeu', 'meus', 'meninos', 'são', 'o', 'que', 'você', 'teceu', 'em', 'resistência', 'ao', 'mundo', 'que', 'deus', 'deu', 'gancho', 'eu', 'não', 'quero', 'viver', 'assim', 'mastigar', 'desilusão', 'este', 'abismo', 'social', 'requer', 'atenção', 'foco', 'força', 'e', 'fé', 'já', 'falou', 'meu', 'irmão', 'meninos', 'mimados', 'não', 'podem', 'reger', 'a', 'nação', 'eu', 'não', 'quero', 'viver', 'assim', 'mastigar', 'desilusão', 'este', 'abismo', 'social', 'requer', 'atenção', 'foco', 'força', 'e', 'fé', 'já', 'falou', 'meu', 'irmão', 'meninos', 'mimados', 'não', 'podem', 'reger', 'a', 'nação']"
Criolo,"['Rap', 'Hip Hop', 'MPB']",Espiral de Ilusão,2017,,Nas Águas,"['nas', 'águas', 'do', 'mar', 'eu', 'vou', 'me', 'benzer', 'vou', 'me', 'banhar', 'nas', 'águas', 'do', 'mar', 'eu', 'vou', 'pedir', 'perdão', 'pra', 'abençoá', 'o', 'ano', 'não', 'foi', 'bom', 'por', 'culpa', 'minha', 'ó', 'pai', 'abençoa', 'de', 'mais', 'esse', 'pobre', 'infeliz', 'que', 'o', 'próximo', 'venha', 'assim', 'de', 'axé', 'de', 'amor', 'pra', 'ser', 'feliz', 'eu', 'tirei', 'o', 'sorriso', 'de', 'alguém', 'não', 'mereço', 'perdão', 'magoei', 'teu', 'coração', 'sorrisos', 'são', 'costurados', 'com', 'faceiras', 'situações', 'já', 'sorvi', 'os', 'meu', 'limões', 'já', 'sorvi', 'os', 'meu', 'limões', 'agora', 'vou', 'me', 'banhar', 'pedir', 'perdão', 'pra', 'abençoar', 'fiz', 'alguém', 'feliz', 'e', 'essa', 'canção', 'vem', 'que', 'é', 'só', 'pra', 'limpar']"
Criolo,"['Rap', 'Hip Hop', 'MPB']",Espiral de Ilusão,2017,,Filha do Maneco,"['estava', 'eu', 'observando', 'da', 'janela', 'quando', 'surge', 'um', 'avião', 'do', 'jardim', 'a', 'flor', 'mais', 'bela', 'eu', 'quis', 'saber', 'o', 'nome', 'dela', 'perguntei', 'ao', 'jurandir', 'lá', 'do', 'boteco', 'que', 'logo', 'meu', 'respondeu', 'ela', 'é', 'filha', 'do', 'maneco', 'maneco', 'lá', 'no', 'morro', 'é', 'conhecido', 'temido', 'não', 'é', 'de', 'brincadeira', 'e', 'já', 'mandou', 'o', 'recado', 'pra', 'comunidade', 'sua', 'menina', 'terminou', 'a', 'faculdade', 'e', 'não', 'quer', 'ver', 'gavião', 'sobrevoando', 'o', 'seu', 'terreno', 'e', 'quem', 'tentou', 'provou', 'do', 'seu', 'veneno', 'o', 'homem', 'insiste', 'em', 'dar', 'trabalho', 'ao', 'zé', 'pequeno', 'porque', 'já', 'está', 'fazendo', 'hora', 'extra', 'o', 'coveiro', 'da', 'cidade', 'tá', 'até', 'bancando', 'festa', 'mas', 'de', 'depender', 'de', 'mim', 'vou', 'dar', 'uma', 'papo', 'reto', 'no', 'maneco', 'sua', 'menina', 'conquistou', 'meu', 'coração', 'e', 'vai', 'ser', 'dona', 'do', 'meu', 'barracão']"
Criolo,"['Rap', 'Hip Hop', 'MPB']",Espiral de Ilusão,2017,,Espiral de Ilusão,"['refrão', 'como', 'você', 'dorme', 'com', 'isso', 'como', 'você', 'dorme', 'tranquilo', 'me', 'magoou', 'me', 'destruiu', 'me', 'desandou', 'como', 'você', 'dorme', 'tranquilo', 'eu', 'já', 'descobri', 'tudo', 'o', 'que', 'você', 'fez', 'não', 'era', 'só', 'eu', 'e', 'você', 'eramos', 'três', 'pessoa', 'magoada', 'quer', 'proteger', 'gênero', 'se', 'reúne', 'não', 'tem', 'pra', 'você', 'é', 'que', 'amar', 'é', 'algo', 'novo', 'pros', 'homens', 'mulheres', 'amam', 'homens', 'não', 'sei', 'o', 'quê', 'pra', 'proteger', 'minha', 'raiz', 'de', 'sensibilidade', 'por', 'favor', 'não', 'me', 'liga', 'não', 'me', 'procure', 'mais', 'tarde', 'refrão', 'como', 'você', 'dorme', 'com', 'isso', 'como', 'você', 'dorme', 'tranquilo', 'me', 'magoou', 'me', 'destruiu', 'me', 'desandou', 'como', 'você', 'dorme', 'tranquilo', 'abaixe', 'seu', 'tom', 'não', 'fale', 'por', 'mim', 'mulher', 'tem', 'fibra', 'não', 'vai', 'destruir', 'num', 'espiral', 'de', 'ilusão', 'você', 'se', 'meteu', 'e', 'la', 'me', 'jogou', 'com', 'você', 'foi', 'total', 'desamor']"
