artist,album,year,record_label,title,lyrics
emicida,AmarElo,2019,,"Principia (part. Pastor Henrique Vieira, Fabiana Cozza & Pastoras do Rosário)","L√°-ia, l√°-ia, l√°-iaL√°-ia, l√°-ia, l√°-iaL√°-ia, l√°-ia, l√°-iaL√°-ia, l√°-ia, l√°-iaO cheiro doce da arrudaPenso em Buda calmoTenso eu busco uma ajuda √†s vezes me vem o SalmoTira a vis√£o que iluda, √© tipo um oftalmo'E eu, que vejo al√©m de um palmoPor mim, t√¥ Ubuntu, √≥, uauSe for pra crer num terrenoS√≥ no que n√≥is t√° vendo memo'Resumo do plano √© baixo, pequeno e mundanoSujo, inferno e venenoFrio, inverno e serenoRepress√£o e regress√£oAng√∫stia √© eu ter calma e a vida escadaJunto ler almas pra al√©m da press√£oAs voz em declive na m√£o desse Barrab√°sOnde o milagre jazS√≥ prova a urg√TMncia de livrosperante o estrago que um s√°bio fazO mestre em d√≠vidas avidasSem no√ß√£o do que s√£o d√°divasNo tempo onde a √∫nica que corre livreaqui s√£o as suas l√°grimasE eu voltei pra acabar tipo infartoDepois fazer renascer, estilo partoEu me refa√ßo, fato, descartoDe p√© no ch√£o, homem comumSe a ben√ß√£o vem a mim, repartoInvado cela, sala, quartoRodeio o globo, hoje t√¥ certoDe que todo mundo √© umE tudo, tudo, tudo, tudo que n√≥s tem √© n√≥sTudo, tudo, tudo que n√≥s tem √©Tudo, tudo, tudo que n√≥s tem √© n√≥sTudo, tudo, tudo que n√≥s tem √©Tudo, tudo, tudo, tudo que n√≥s tem √© n√≥sTudo, tudo, tudo que n√≥s tem √©Tudo, tudo, tudo que n√≥s tem √© n√≥sTudo, tudo, tudo que n√≥s tem √©Cale o cansa√ßo, refa√ßa o la√ßoOfere√ßa um abra√ßo quenteA m√∫sica √© s√≥ uma sementeUm sorriso ainda √© a √∫nica l√≠ngua que todos entendeCale o cansa√ßo, refa√ßa o la√ßoOfere√ßa um abra√ßo quenteA m√∫sica √© s√≥ uma sementeUm sorriso ainda √© a √∫nica l√≠ngua que todos entende(Gente √© pra ser gentil)Tipo um girassol, meu olho busca o solMano, crer que o √≥dio √© solu√ß√£o√â ser sommelier de anzolBarco a deriva sem farolNem sinal de aurora borealA voz corta a noite igual um rouxinolTudo que bate √© tamborTodo tambor vem de l√°Se o cora√ß√£o √© o senhor, tudo √© √ÅfricaPois em pr√°tica, essa t√°tica, matem√°tica falouEnquanto a terra n√£o for livre, eu tamb√©m n√£o souEnquanto essa hist√≥ria de quem t√° por vir, eu vouJantar com as menina enquanto germina o amor√â emp√≠rico, e on√≠rico, meio p√≠rico, meu esp√≠ritoQuer que eu tire de tua dorQuer mil volta descarga de tanta lutaAdaga que rasga com for√ßa brutaDeus, por que a vida √© t√£o amarga?Na terra que √© casa da cana-de-a√ß√∫carE essa sobrecarga fruto guetoQue apaga e assusta seu suspeitoRecarga que √© igual a JesusNo caminho da luz, todo mundo √© pretoE tudo, tudo, tudo, tudo que n√≥s tem √© n√≥sTudo, tudo, tudo que n√≥s tem √©Tudo, tudo, tudo que n√≥s tem √© n√≥sTudo, tudo, tudo que n√≥s tem √©Tudo, tudo, tudo, tudo que n√≥s tem √© n√≥sTudo, tudo, tudo que n√≥s tem √©Tudo, tudo, tudo que n√≥s tem √© n√≥sTudo, tudo, tudo que n√≥s tem √©Vejo a vida passar num instanteSer√° tempo o bastante que tenho pra viver?N√£o sei, n√£o posso saberQuem segura o dia de amanh√£ na m√£o?N√£o h√° quem possa acrescentar um mil√≠metro a cada esta√ß√£oEnt√£o, ser√° tudo em v√£o? Banal? Sem raz√£o?Seria... Sim seria, se n√£o fosse o amorO amor cuida com carinhoRespira o outro, cria o eloO v√≠nculo de todas as coresDizem que o amor √© amarelo√â certo na incertezaSocorro no meio da correntezaT√£o simples como um gr√£o de areiaConfunde os poderosos a cada momentoAmor √© decis√£o, atitudeMuito mais que sentimentoAlento, fogueira, amanhecerO amor perdoa o imperdo√°velResgata a dignidade do ser√â espiritualT√£o carnal quanto angelicalN√£o t√° no dogma ou preso numa religi√£o√â t√£o antigo quanto a eternidadeAmor √© espiritualidadeLatente, potente, preto, poesiaUm ombro na noite quietaUm colo pra come√ßar o diaFilho, abrace sua m√£ePai, perdoe seu filhoPaz, √© repara√ß√£oFruto de pazPaz n√£o se constr√≥i com tiroMas eu miro, de frenteA minha fragilidadeEu n√£o tenho a bolha da prote√ß√£oQueria eu guardar tudo que amoNo castelo da minha imagina√ß√£oMas eu vejo a vida passar num instanteSer√° tempo o bastante que tenho pra viver?Eu n√£o sei, eu n√£o posso saberMas enquanto houver amor, eu mudarei o curso da vidaFarei um altar pra comunh√£oNele, eu serei um com o mundo at√© verO ponto da emancipa√ß√£oPorque eu descobri o segredo que me faz humanoJ√° n√£o est√° mais perdido o eloO amor √© o segredo de tudoE eu pinto tudo em amarelo"
emicida,AmarElo,2019,,A Ordem Natural das Coisas (part. MC Tha),"A merendeira desce, o √¥nibus saiDona Maria j√° se foi, s√≥ depois √© que o sol nasceDe madruga que as aranha desce no breuE amantes ofegantes v√£o pro mundo de MorfeuE o sol s√≥ vem depoisO sol s√≥ vem depois√â o astro rei, ok, mas vem depoisO sol s√≥ vem depoisAnunciado no latir dos c√£es, no cantar dos galosNa calma das m√£es, que quer o rebento cem por centoE diz: ""leva o documento, Sam""Na S√£o Paulo das manh√£ que tem l√° seus Vietn√£Na vela que o vento apaga, afaga quando passaA brasa dorme fria e s√≥ quem dan√ßa √© a fuma√ßaOrvalho √© o pranto dessa planta no serenoA lua j√° t√° no Jap√£o, como esse mundo √© pequenoFarelos de um sonho bobinho que a luz contornaDar um tapa no quartinho, esse ano sai a reformaO som das crian√ßa indo pra escola convenceO feij√£o germina no algod√£o, a vida sempre venceNuvens curiosas, como s√£oSe vestem de cabelo crespo, anci√£oCaminham lento, l√° pra cima, o firmamentoPois no fundo ela se finge de neblinaPra ver o amor dos dois mundosA merendeira desce, o √¥nibus saiDona Maria j√° se foi, s√≥ depois √© que o sol nasceDe madruga que as aranha desce no breuE amantes ofegantes v√£o pro mundo de MorfeuE o sol s√≥ vem depoisO sol s√≥ vem depois√â o astro rei, ok, mas vem depoisO sol s√≥ vem depoisA merendeira desce, o √¥nibus saiDona Maria j√° se foi, s√≥ depois √© que o sol nasceDe madruga que as aranha desce no breuE amantes ofegantes v√£o pro mundo de MorfeuE o sol s√≥ vem depoisO sol s√≥ vem depois√â o astro rei, ok, mas vem depoisO sol s√≥ vem depois"
emicida,AmarElo,2019,,Pequenas Alegrias da Vida Adulta,"Deve-se ter cuidado ao passar no trap√©zioMesmo que pese o desespero dos novos temposSe um like serve ao √≥dio, bro, nesse epis√≥dioBreve o bom sendo diz: respire um momento√â sobre aprender tipo giz e lousaO esp√≠rito repousa, reza e volta cem por centoCale tudo que o mundo fale e penseO quanta vida valeSeja luz nesse dia cinzentoE ela diz: ""Deus te acompanhe, pretin, Bom dia""Me deu um beijo e virou poesia""Deus te acompanhe, Pretin""E um beijo de amor explodiu em alegriaDeus te acompanhe, pretinVolta pra n√≥s como camisa 10 ap√≥s o golMeu peito rufla, o olho brilha, isso √© ter uma fam√≠liaMinha alma disse: demor√¥Ent√£o eu vou bater de frente com tudo por elaTopar qualquer lutaPelas pequenas alegrias da vida adultaEu vouEu vou pro fronte como guerreiroNem que seja pra enfrentar o planeta inteiroCorrer a maratona, chegar primeiroE gritar: ""√© por voc√TM, amor""Eu vou bater de frente com tudo por elaTopar qualquer lutaPelas pequenas alegrias da vida adultaEu vouEu vou pro fronte como guerreiroNem que seja pra enfrentar o planeta inteiroCorrer a maratona, chegar primeiroE gritar: ""√© por voc√TM, amor""√â um s√°bado de paz onde se dorme maisO gol da virada quase que n√≥s rebaixaEmendar um feriado nesses litoraisEncontrar uma Tupperware que a tampa ainda encaixaMais cedo brotou alecrim e uns segredosTava com jeito que ia dar capimEla reclama do azedo, recolhe os brinquedosTriunfo hoje pra mim √© o azul no boletimUma boa promo√ß√£o de fraldas nessas drogariasO faz me rir na hora extra vinda do servi√ßoPresentes feitos com guache e crepom lembra meu diaPenso que os sonhos de Deus deve ser tipo issoEnt√£o eu vou bater de frente com tudo por elaTopar qualquer lutaPelas pequenas alegrias da vida adultaEu vouEu vou pro fronte como guerreiroNem que seja pra enfrentar o planeta inteiroCorrer a maratona, chegar primeiroE gritar: ""√© por voc√TM, amor""Eu vou bater de frente com tudo por elaTopar qualquer lutaPelas pequenas alegrias da vida adultaEu vouEu vou pro fronte como guerreiroNem que seja pra enfrentar o planeta inteiroCorrer a maratona, chegar primeiroE gritar: ""√© por voc√TM, amor""√ì, √≥, √≥, √≥√ì, √≥, √≥, √≥√ì, √≥, √≥, √≥√ì, √≥, √≥, √≥Ei, Leandro, vou te contar essa hist√≥ria aquiporque eu sei que c√TM d√° risada desses bagulho, se ligaFui l√° pra Tabo√£o da Serra esses diaspra visitar minha m√£e, n√©. Pum, relaxado, quebradinhaA√≠ encontrei com os molequeA√≠ o Jow me contou essa hist√≥riaele falou que tava na laje da casa dele fumando um cigarro√â um sobrad√£o que tem uns quatro andar, t√° ligado?A√≠ quando ele olha l√° embaixo na ruatem um maluco tentando for√ßar a porta do carro deleFor√ßando assim pra tentar abrir pra roubar o r√°dioSabe quando o maluco t√° tentando pra roubar?Pois √©! A√≠ o Jow l√° de cima olhou: ""mano, e agora? ""Olhou pro lado e tinha um pedra giganteum pedregulho assim, t√° ligado? Ele falou assim""mano, √© isso memo! Vou mirar e acertar logo no pote! "" Moleque, √≥ o que aconteceuo Jow mirou no cara, acertou no teto do carro, LeandroEle quebrou o carro todo, viadoO maluco foi tentar salvar o carro e quebrou a porra todaE n√£o contente, a for√ßa do impacto abriu a portaque o cara n√£o tava conseguindo abrire o maluco n√£o me levou o r√°dio do cara embora?Ah, c√TM √© louco, vou contar essa fita no stand upt√° brincando?"
emicida,AmarElo,2019,,Quem Tem Um Amigo (Tem Tudo) (part. Tokyo Ska Paradise Orchestra e Os Prettos &,"Quem tem um amigo tem tudoSe o po√ßo devorar, ele busca no fundo√â t√£o dez que junto todo stress √© mi√∫do√â um ponto pra escorar quando foi absurdoQuem tem um amigo tem tudoSe a bala come, mano, ele se p√μe de escudoPronto pro que vier mesmo a qualquer segundo√â um ombro pra chorar depois do fim do mundoSer mano igual Gil e CaetanoNesse mundo louco √© pra poucostanto sufoco insano encontreiVoltar pra esse plano e vamos estar voltando√â tipo Rococ√≥, Barroco em que Aleijadinho era rei√â presente dos deuses, rimos quantas vezes?Fomo' em catequeses, logo pergunteiPra Oxal√° e pra Nossa SenhoraEm que altura voc√TM mora agora, um dia ali visitareiSer mano igual Gil e CaetanoNesse mundo louco √© pra poucostanto sufoco insano encontreiVoltar pra esse plano e vamos estar voltando√â tipo um Rococ√≥, Barroco em que Aleijadinho era rei√â presente dos deuses, rimos tantas vezesComo em catequeses, logo pergunteiPra Oxal√° e pra Nossa SenhoraEm que altura voc√TM mora agora, um dia ali visitareiTantas idas e vindas cantam hist√≥rias lindasSamba que toca ainda, camba desde CabingaClasse aruanda brinda, plantas, √°gua e moringaSabe, imbanda n√£o finda, acampa no colo da dindaE volta como o SolCheio de luz e inspira√ß√£o rompendo a escurid√£oQuem divide o que tem √© que vive pra sempreE a gente humildemente lembra no refr√£oAssim, √≥Quem tem um amigo tem tudoSe o po√ßo devorar, ele busca no fundo√â t√£o dez que junto todo stress √© mi√∫do√â um ponto pra scorar quando foi absurdoQuem tem um amigo tem tudoSe a bala come, mano, ele se p√μe de escudoPronto pro que vier mesmo a qualquer segundo√â um ombro pra chorar depois do fim do mundoO amigo √© um mago do meigo abra√ßo√â mega afago, abrigo em la√ßoO√°sis nas piores fases quando some o ch√£o e as basesQuando tudo vai pro espa√ßo, √© issoO amigo √© um mago do meigo abra√ßo√â mega afago, abrigo em la√ßoO√°sis nas piores fases quando some o ch√£o e as basesQuando tudo vai pro espa√ßo, √© issoQuem tem um amigo tem tudo (Valeu, Emicida, brigado a√TM)Quem tem um amigo tem tudo (Valeu, amigo)Quem tem um amigo tem tudo(Valeu, amigo, j√° √© terceira vez, hein?)Quem tem um amigo tem tudo(Valeu, professor Zeca Pagodinhoamigo na pra√ßa √© melhor que dinheiro no bolso, mano)Quem tem um amigo tem tudo (√â isso mesmo)Quem tem um amigo tem tudo(Valeu, meu eterno parceiro Wilson das Neves)Quem tem um amigo tem tudo(O orix√° que tivemos a honra de conhecer em vida)Quem tem (Oh, sorte)Quem tem um amigo tem tudoSe o po√ßo devorar, ele busca no fundo√â t√£o dez que junto todo stress √© mi√∫do√â um ponto pra scorar quando foi absurdoQuem tem um amigo tem tudoSe a bala come, mano, ele se p√μe de escudoPronto pro que vier mesmo a qualquer segundo√â um ombro pra chorar depois do fim do mundo"
emicida,AmarElo,2019,,Paisagem,"Cheira √† p√≥lvora, frio de m√°rmoreVer que agora quantas √°rvoresCondecora nossos raptoresNos arredores tudo j√° pertence aos roedores√â hora que o vermelho colore o folclore√â louco como adianta pouco, mas olheCom sorte talvez pioreN√£o se iluda, pois nada muda, ent√£o s√≥ contemple as floresE acende a brasa, esfregue as m√£osDesabotoa o bot√£o da camisaSinta-se em casa, imagine o ver√£oIgnore a radia√ß√£o na brisaSintoniza o est√©reo com seu velho jazzPra um pesadelo est√©ril at√© durou demaisReconhe√ßa s√©rio que o mal foi sagazComo um bom cemit√©rio tudo est√° em pazEm pazEm pazEm pazEm pazTudo est√° em pazEm pazEm pazEm pazTudo est√° em pazO peso dos dias nas costas brindamos com ferroNum sil√TMncio que permite ouvir as nuvem raspar o c√©uSem far√≥is nos far√≥is, descendentes de fara√≥s ao l√©uE a cena triste insiste em te dar um papelEm algum lugar entre a rua e a minha almaEstampido e a libido trepa entre gritos de calmaBem louco de like e brisaQue a rede social d√° o que n√≥s querenquanto rouba o que n√≥s precisaPorque nada √© s√≥lido, nadaBeijos c√°lidos, fadasTudo ins√≥lito, caraSente o h√°lito, afagaRosto p√°lido fodaEu quero um b√°lsamo paraEsse tempo s√°dico, caraPuta sonho inv√°lido, acordaAnsiedade corr√≥i como ferrugemO passeio d√° vertigemVer que os monstros que surgem t√TMm origemNa fuligem do valeQuem diria? A pobreza de esp√≠rito aquiFez a de grana se tornar um detalheDizem os jornais: Calma, rapazEspere e ver√°s, tudo est√° em pazEm pazEm pazEm pazEm pazTudo est√° em pazEm pazEm pazEm pazTudo est√° em paz"
emicida,AmarElo,2019,,"Cananéia, Iguape e Ilha Comprida","IssoN√£o, chacoalho tem que ser tocado com vontade, entendeu?S√≥ que sem risadinha, certo?Porque aqui √© o rap, onde o povo √© mauPra trabalhar nesse emprego de rappervoc√TM tem que ser mauSer√° que o Brown passa por isso?Ou o Djonga? Ou o Rael?Aqui os cara √© mauVamo, NaveDo fundo do meu cora√ß√£oDo mais profundo canto em meu interior, √¥Pro mundo em decomposi√ß√£oEscrevo como quem manda cartas de amorCrian√ßas, risos e janelasNamoradeiras, tran√ßas, fitas amarelasO vermelho das telhas, o luzir da centelhate faz sentir como dentro de uma telaA esperan√ßa pinta em aquarelaChiadeira de r√°dio, TVs e novelasO passeio das abelhaso concordar das ovelhas nas orelhasE a vida concorda de tabelaNo paralelep√≠pedo, trabalhador intr√©pidoO motor est√° no √≠mpeto onde come√ßa tudoO vento come√ßa o r√°pido, pra todo som ecl√©ticoVitrolas cantam cl√°ssicos num belo absurdoMetabolizam, focam, s√£o metr√≥poles que n√£o se tocamEnt√£o se chocam com o sonho de algu√©mS√£o assassinas de domingo a pausar tudo que √© lindoTodos que sentem isso s√£o meus amigos, tamb√©mEssa aqui vem do fundo do meu cora√ß√£o (Ah, ah ah)Do mais profundo canto do meu interiorPro mundo em decomposi√ß√£oEscrevo como quem manda cartas de amorDo fundo do meu cora√ß√£oEssa aqui vem do meu cora√ß√£oO mais profundo canto do meu interiorPro mundo em decomposi√ß√£o(essa aqui tamb√©m √© uma forma de ora√ß√£o)Escrevo como quem manda cartas de amorEstrela, lua e vagalumeSiriris brincando de cardumeFogueira traz hist√≥rias a reviver as mem√≥riasNo√TMmia de Souza chamava de lumeA noite brinda com negrumeA brisa em tuas flores espalha o perfumeSem escapat√≥ria da cigarra em orat√≥riaT√£o √≠ntima da m√∫sica que d√° ci√∫meNo paralelep√≠pedo, trabalhador intr√©pidoO motor est√° no √≠mpeto onde come√ßa tudoO vento come√ßa o r√°pido, pra todo som ecl√©ticoVitrolas cantam cl√°ssicos num belo absurdoMetabolizam, focam, s√£o metr√≥poles que n√£o se tocamEnt√£o se chocam com o sonho de algu√©mS√£o assassinas de domingo a pausar tudo que √© lindoTodos que sentem isso s√£o meus amigos, tamb√©m"
emicida,AmarElo,2019,,9nha (Part. Drik Barbosa),"Eu tinha 14 ou 15Naquele m√TMs em que meus parceiro assinou o primeiro 16Hoje 33 agrava, 12 j√° ligavaNa solid√£o restou n√≥s de m√£o dadaSem trava o papo flu√≠aEla ia onde eu ia, [?] ca√ßamba nessas ruas sombriasDe um beco nessa noite em meio √† friagemNum mundo de dar medo ela me dava coragem, mor√¥?E a sintonia monstra, neguim?N√∫mero bom, tamanho perfeito pra mimQue as outra era pesada, B. O, flagranteEla n√£o bem cuidada, ela era brilhanteUma na agulha, n√£o perde a linhaPrendada, ligeira tipo as tiazinha lavadeiraExplosiva de cuspir fogoQuem viu num queria ver duas vezeu fui com ela de novoMeu bem√ì, meu bemA gente ainda vai sair nos jornais√ì, meu bem, meu benzinhoA gente ainda vai√ì, meu bem, √≥, meu bemA gente ainda vai sair nos jornais√ì, meu bem, meu benzinhoA gente ainda vaiA√≠, nossa primeira vez foi horr√≠vel, medo nos z√≥i, suorPensando: Ser√° que um dia eu vou fazer melhor?Talvez se p√° (?) e caraiUma p√° de sangue, deixa essas merda a√≠, correNossa primeira treta, poucas ideiaLoucas ideia, o que quer que eu falasse ganhava a plateiaO jeito que ela se irritaVai de Bonnie e Clyde, sai de que, Maria Bonita e brilhaTua boca quente na minha virilhaQuase queima, que fase, reina, camicazeO que tem entre n√≥s √© t√£o raroFoda √© que pra tirar um barato√†s vez a gente paga t√£o caro, meu bem√ì, meu bemA gente ainda vai sair nos jornais√ì, meu bem, meu benzinhoA gente ainda vai√ì, meu bem, √≥, meu bemA gente ainda vai sair nos jornais√ì, meu bem, meu benzinhoA gente ainda vaiDia louco com a excitantePerigoso e excitante, t√° ligado?Deliciosamente arriscadoUm exageradoE traz um medo como ter um pelo√â um tempero m√°gicoMas o final √© sempre tr√°gico"
emicida,AmarElo,2019,,Ismália (part. Larissa Luz & Fernanda Montenegro),"Com a f√© de quem olha do banco a cenaDo gol que n√≥s mais precisava na traveA felicidade do branco √© plenaA p√©, trilha em brasa e barranco, que penaSe at√© pra sonhar tem entraveA felicidade do branco √© plenaA felicidade do preto √© quase[Pr√©-Refr√£o: Emicida]Olhei no espelho, √çcaro me encarou""Cuidado, n√£o voa t√£o perto do solEles num guenta te ver livre, imagina te ver rei""O abutre quer te ver de algema pra dizer""√ì, num falei? ""No fim das conta √© tudo Ism√°lia, Ism√°liaIsm√°lia, Ism√°liaIsm√°lia, Ism√°liaQuis tocar o c√©u, mas terminou no ch√£oIsm√°lia, Ism√°liaIsm√°lia, Ism√°liaIsm√°lia, Ism√°liaQuis tocar o c√©u, mas terminou no ch√£oEla quis ser chamada de morenaQue isso camufla o abismo entre si e a humanidade plenaA raiva insufla, pensa nesse esquemaA ideia imunda, tudo inundaA dor profunda √© que todo mundo √© meu temaPaisinho de bosta, a m√≠dia gostaDeixou a falha e quer medalhade quem corre com fratura expostaApunhalado pelas costaEsquartejado pelo imposto impostaE como analg√©sico n√≥s posta queUm dia vai t√° nos conformeQue um diploma √© uma alforriaMinha n√© uniformeHashtags #Pretonotopo, bravo!80 tiros te lembram que existe pele alva e pele alvoQuem disparou usava farda (Mais uma vez)Quem te acusou nem l√° num tava(Banda de esp√≠rito de porco)Porque um corpo preto morto √© tipo os hit das paradaTodo mundo v√TM, mas essa porra n√£o diz nadaOlhei no espelho, √çcaro me encarou""Cuidado, n√£o voa t√£o perto do solEles num guenta te ver livre, imagina te ver rei""O abutre quer te ver drogado pra dizer""√ì, num falei? ""No fim das conta √© tudo Ism√°lia, Ism√°liaIsm√°lia, Ism√°liaIsm√°lia, Ism√°liaQuis tocar o c√©u, mas terminou no ch√£oTer pele escura √© ser Ism√°lia, Ism√°liaIsm√°lia, Ism√°liaIsm√°lia, Ism√°liaQuis tocar o c√©u, mas terminou no ch√£o(Terminou no ch√£o)Primeiro 'c√TM sequestra eles, rouba eles, mente sobre elesNega o deus deles, ofende, separa elesSe algum sonho ousa correr, 'c√TM para eleE manda eles debater com a bala de vara eles, manoInfelizmente onde se sente o sol mais quenteO lacre ainda t√° presente s√≥ no caix√£o dos adolescenteQuis ser estrela e virou medalha num bo√ßalQue coincidentemente tem a cor que matou seu ancestralUm primeiro sal√°rioDuas fardas policiaisTr√TMs no banco traseiroDa cor dos quatro RacionaisCinco vida interrompidaMoleques de ouro e bronzeTiros e tiros e tirosO menino levou 111Quem disparou usava farda (Ism√°lia)Quem te acusou nem l√° num tava√â a desuni√£o dos preto junto √† vis√£o sagazDe quem tem tudo, menos cor, onde a cor importa demais""Quando Ism√°lia enlouqueceuP√¥s-se na torre a sonharViu uma lua no c√©uViu outra lua no marNo sonho em que se perdeuBanhou-se toda em luarQueria subir ao c√©uQueria descer ao marE num desvario seuNa torre, p√¥s-se a cantarEstava perto do c√©uEstava longe do marE, como um anjoPendeu as asas para voarQueria a lua do c√©uQueria a lua do marAs asas que Deus lhe deuRuflaram de par em parSua alma subiu ao c√©uSeu corpo desceu ao mar""Olhei no espelho, √çcaro me encarou""Cuidado, n√£o voa t√£o perto do solEles num guenta te ver livre, imagina te ver rei""O abutre quer te ver no lixo pra dizer""√ì, num falei? ""No fim das conta √© tudo Ism√°lia, Ism√°liaIsm√°lia, Ism√°liaIsm√°lia, Ism√°liaQuis tocar o c√©u, mas terminou no ch√£oTer pele escura √© ser Ism√°lia, Ism√°liaIsm√°lia, Ism√°liaIsm√°lia, Ism√°liaQuis tocar o c√©u, mas terminou no ch√£o(Terminou no ch√£o)"
emicida,AmarElo,2019,,"Eminência Parda (Part. Dona Onete, Jé Santiago, Papillon)","Muriquinho pequinino, muriquinho pequininoPurugunta aonde vai, purugunta aonde vaiEscapei da morte, agora sei pra onde eu vouSei que n√£o foi sorte, sempre quis t√° onde eu t√¥N√£o confio em ningu√©m, n√£oMuito menos nos po-po (Fuck the police)Dinheiro no bolso, meu pulso todo congelou (Yeah)Foi antes dos show (Antes dos show)Bem antes do blow (Antes do blow)Tava com meus bro, antes do hype e os invejosoEscapei da morte, agora sei pra onde eu vouSei que n√£o foi sorteOkEram rancores abissais (Mas)Fiz a f√© ecoar como catedraisSacro igual Tor√°s, mato igual coraisTubar√£o voraz de saberes orientaisMeu c√¢ntico fez do Atl√¢ntico um detalhe qu√¢nticoBusco em mim nos temporais (Vozes ancestrais)Num se mede coragem em tempo de pazEstilo Jesus 2. 0 (Carai, Jesus 2. 0)Caminho sobre as √°gua da m√°goados pangua que caga essas regra que me impuseramEra um nada, hoje eu guardo um infinitoMe sinto tipo a inven√ß√£o do zeroN√£o sou convencido, (n√£o)Sou convincenteA√≠, v√TM nas rua o que as rima fizeramDa pasta base pra base na pasta, o mund√£o arrastaMilh√£o, minha casta voa, ping-pongAfasta bosta, basta mente, 'rasta a vidaHei, calibra o yin-yangIgual cineasta eu busco a fresta, ofusco a festaMira a testa, eu mando o Kim Jong, master (?)Eu decido se c√TMs v√£o lidar com King ou se v√£o lidar com KongTipo as tecla, vim da vida secaTudo era o Saara, o Saara, o SaaraAbund√¢ncia meta, tipo MecaSou Thomas Sankara, que encara e reparaPique rec√©m-nascido cercado de chequeMescla de Vivara, Guevara, lebaraMinha caneta t√° fodendo com a hist√≥ria brancaE o mundo grita: ""n√£o para, n√£o para, n√£o para""Ent√£o supera a tara velha nessa caravelaS√©rio, eu paro a (?) , escancaro a tela em perspectivaEu subo, quebro tudo e eles chama de conceitoEu penso que de algum jeito trago a m√£o de ShivaIsso √© Deus falando atrav√©s dos manoSou eu mirando e matando a KluS√≥ quem driblou a morte pela Norte sacaQue nunca foi sorte, sempre foi ExuMeto terno por divers√£o√â subalterno ou subvers√£o?Tudo era inferno, eu fiz invers√£oA meta √© o eterno, a imensid√£oComo abelhas se acumulam sob a telhaEu pastoreio a negra ovelha que vagou dispersaPoliniza√ß√£o pauta a conversaAt√© que nos chamem de coloniza√ß√£o reversaN√£o tem dor que perdurar√°Nem teu √≥dio perturbar√°A miss√£o √© recuperarCooperar e empoderarJ√° foram muitos anos na retrancaMas preto n√£o chora, mas n√£o levantaMe implora, penhora a bandeira brancaN√£o cansa a garganta com tantas (?)N√£o. fuck a tens√£oA nossaFuck all press√£oN√£o tem outra op√ß√£oAt√© estar tudo em pratos limpos (?)A partida agora √© papo reto sem rodeioolha direto nos olhos do preto sem receioDizem que o (?)Cheguei, rimei, ganhei, sugueiEscapei da morte, agora sei pra onde eu vouSei que n√£o foi sorte, sempre quis t√° onde eu t√¥N√£o confio em ningu√©m, n√£oMuito menos nos po-po (Fuck the police)Dinheiro no bolso, meu pulso todo congelou (Yeah)Foi antes dos show (Antes dos show)Bem antes do blow (Antes do blow)Tava com meus bro, antes do hype e os invejosoEscapei da morte, agora sei pra onde eu vouSei que n√£o foi sorte, eu sempre quis t√° onde eu t√¥Muriquinho pequinino, muriquinho pequininoPurugunta aonde vai, purugunta aonde vai"
emicida,AmarElo,2019,,AmarElo (part. Majur e Pabllo Vittar),
