artist,tags,album,year,record_label,title,lyrics
MC Marcinho,"['Funk Carioca', 'Rap', 'Funk']",Falando com as Estrelas,2002,PA Records,Funk da Antiga,"['pois', 'até', 'hoje', 'o', 'nosso', 'funk', 'está', 'por', 'cima', 'ai', 'que', 'saudade', 'que', 'eu', 'tenho', 'do', 'meu', 'funk', 'da', 'antiga', 'se', 'tu', 'não', 'curtiu', 'dj', 's', 'no', 'vinil', 'então', 'perdeu', 'o', 'melhor', 'funk', 'do', 'brasil', 'pois', 'até', 'hoje', 'o', 'nosso', 'funk', 'está', 'por', 'cima', 'ai', 'que', 'saudade', 'que', 'eu', 'tenho', 'do', 'meu', 'funk', 'da', 'antiga', 'se', 'tu', 'não', 'curtiu', 'dj', 's', 'no', 'vinil', 'então', 'perdeu', 'o', 'melhor', 'funk', 'do', 'brasil', 'há', 'muito', 'tempo', 'atrás', 'surgiu', 'um', 'movimento', 'e', 'a', 'cada', 'dia', 'que', 'passava', 'pouco', 'a', 'pouco', 'ía', 'crescendo', 'um', 'ritmo', 'moderno', 'e', 'muito', 'maneiro', 'surgia', 'assim', 'o', 'nosso', 'funk', 'no', 'meu', 'rio', 'de', 'janeiro', 'foi', 'vários', 'os', 'pancadões', 'internacionais', 'surgiram', 'os', 'mc', 's', 'e', 'vários', 'festivais', 'e', 'os', 'dj', 's', 'no', 'prato', 'mandando', 'scratchs', 'maneiro', 'e', 'levando', 'ao', 'delírio', 'os', 'funkeiros', 'pois', 'até', 'hoje', 'o', 'nosso', 'funk', 'está', 'por', 'cima', 'ai', 'que', 'saudade', 'que', 'eu', 'tenho', 'do', 'meu', 'funk', 'da', 'antiga', 'se', 'tu', 'não', 'curtiu', 'dj', 's', 'no', 'vinil', 'então', 'perdeu', 'o', 'melhor', 'funk', 'do', 'brasil', 'mais', 'o', 'tempo', 'passou', 'tanta', 'coisa', 'mudou', 'várias', 'relíquias', 'que', 'existiam', 'hoje', 'se', 'acabou', 'acabou', 'o', 'festival', 'acabou', 'a', 'matinê', 'até', 'o', 'meu', 'vinil', 'hoje', 'virou', 'cd', 'mais', 'o', 'meu', 'funk', 'continua', 'abalando', 'e', 'cada', 'dia', 'que', 'passa', 'vai', 'se', 'modernizando', 'a', 'massa', 'da', 'antiga', 'e', 'a', 'nova', 'geração', 'humildemente', 'vem', 'cantando', 'esse', 'refrão', 'pois', 'até', 'hoje', 'o', 'nosso', 'funk', 'está', 'por', 'cima', 'ai', 'que', 'saudade', 'que', 'eu', 'tenho', 'do', 'meu', 'funk', 'da', 'antiga', 'se', 'tu', 'não', 'curtiu', 'dj', 's', 'no', 'vinil', 'então', 'perdeu', 'o', 'melhor', 'funk', 'do', 'brasil']"
MC Marcinho,"['Funk Carioca', 'Rap', 'Funk']",Falando com as Estrelas,2002,PA Records,Zona Oeste,"['e', 'aí', 'marcinho', 'e', 'isso', 'aí', 'bob', 'rum', 'diante', 'de', 'tanta', 'guerra', 'e', 'de', 'tanta', 'violência', 'viemos', 'trazer', 'um', 'pouco', 'de', 'paz', 'e', 'de', 'harmonia', 'em', 'forma', 'de', 'canção', 'eu', 'sou', 'marcinho', 'de', 'bangu', 'sou', 'bob', 'rum', 'de', 'santa', 'cruz', 'sei', 'que', 'já', 'passei', 'por', 'tantas', 'coisas', 'ruins', 'mas', 'me', 'superei', 'e', 'hoje', 'eu', 'sei', 'que', 'eu', 'venci', 'pois', 'a', 'vida', 'é', 'de', 'momento', 'mas', 'temos', 'talento', 'minha', 'estrela', 'vai', 'brilhar', 'em', 'qualquer', 'lugar', 'já', 'pedi', 'ao', 'meu', 'bom', 'deus', 'pra', 'me', 'dar', 'uma', 'luz', 'pois', 'não', 'somos', 'nada', 'nessa', 'vida', 'sem', 'ter', 'jesus', 'agradeço', 'aos', 'meus', 'fãs', 'pôr', 'todo', 'carinho', 'quando', 'olho', 'para', 'o', 'lado', 'eu', 'sei', 'que', 'não', 'estou', 'sozinho', 'hoje', 'eu', 'voltei', 'quero', 'cantar', 'o', 'funk', 'corre', 'em', 'minhas', 'veias', 'seja', 'em', 'qualquer', 'lugar', 'sou', 'da', 'zona', 'oeste', 'onde', 'brilha', 'nossa', 'luz', 'eu', 'sou', 'marcinho', 'de', 'bangu', 'sou', 'bob', 'rum', 'de', 'santa', 'cruz', 'eu', 'sou', 'marcinho', 'de', 'bangu', 'sou', 'bob', 'rum', 'de', 'santa', 'cruz', 'nessa', 'estrada', 'da', 'vida', 'tanta', 'coisa', 'rolou', 'emoções', 'e', 'sentimentos', 'a', 'gente', 'tocou', 'e', 'do', 'palco', 'eu', 'sentia', 'a', 'sua', 'energia', 'enquanto', 'eu', 'cantava', 'pra', 'mim', 'você', 'sorria', 'os', 'amigos', 'que', 'ficaram', 'pelo', 'caminho', 'pras', 'princesas', 'que', 'cantei', 'com', 'muito', 'carinho', 'eu', 'dedico', 'essa', 'canção', 'na', 'união', 'acredito', 'dentro', 'do', 'meu', 'coração', 'seus', 'nomes', 'estão', 'escritos', 'hoje', 'eu', 'voltei', 'quero', 'cantar', 'o', 'funk', 'correm', 'minhas', 'veias', 'seja', 'em', 'qualquer', 'lugar', 'sou', 'da', 'zona', 'oeste', 'onde', 'brilha', 'nossa', 'luz', 'eu', 'sou', 'marcinho', 'de', 'bangu', 'sou', 'bob', 'rum', 'de', 'santa', 'cruz', 'eu', 'sou', 'marcinho', 'de', 'bangu', 'sou', 'bob', 'rum', 'de', 'santa', 'cruz', 'hoje', 'eu', 'voltei', 'quero', 'cantar', 'onde', 'correm', 'minhas', 'veias', 'seja', 'em', 'qualquer', 'lugar', 'sou', 'da', 'zona', 'oeste', 'onde', 'brilha', 'nossa', 'luz', 'eu', 'sou', 'marcinho', 'de', 'bangu', 'sou', 'bob', 'rum', 'de', 'santa', 'cruz', 'eu', 'sou', 'marcinho', 'de', 'bangu', 'sou', 'bob', 'rum', 'de', 'santa', 'cruz', 'hoje', 'eu', 'voltei', 'quero', 'cantar', 'onde', 'correm', 'minhas', 'veias', 'seja', 'de', 'qualquer', 'lugar', 'sou', 'da', 'zona', 'oeste', 'onde', 'brilha', 'nossa', 'luz', 'eu', 'sou', 'marcinho', 'de', 'bangu', 'sou', 'bob', 'rum', 'de', 'santa', 'cruz', 'eu', 'sou', 'marcinho', 'de', 'bangu', 'sou', 'bob', 'rum', 'de', 'santa', 'cruz', 'by', 'juninho']"
MC Marcinho,"['Funk Carioca', 'Rap', 'Funk']",Falando com as Estrelas,2002,PA Records,Falando Com As Estrelas,"['eu', 'olhos', 'as', 'estrelas', 'e', 'elas', 'estão', 'distante', 'mas', 'tenho', 'fé', 'e', 'vou', 'mais', 'adiante', 'meus', 'sonhos', 'que', 'se', 'vão', 'envolve', 'o', 'coração', 'às', 'vezes', 'vem', 'forte', 'a', 'solidão', 'coisas', 'do', 'passado', 'que', 'ficaram', 'guardadas', 'na', 'mente', 'e', 'no', 'peito', 'sufocado', 'e', 'bote', 'pra', 'fora', 'o', 'que', 'tá', 'sentindo', 'abra', 'de', 'novo', 'seu', 'lindo', 'sorriso', 'refrão', 'amar', 'é', 'tão', 'bom', 'tão', 'bom', 'chega', 'de', 'sofrer', 'ame', 'a', 'si', 'mesmo', 'ame', 'a', 'vida', 'que', 'amar', 'é', 'viver', 'eu', 'olho', 'as', 'estrelas']"
MC Marcinho,"['Funk Carioca', 'Rap', 'Funk']",Falando com as Estrelas,2002,PA Records,Sentimentos,"['estou', 'aqui', 'meu', 'amor', 'te', 'pedindo', 'perdão', 'hoje', 'eu', 'sofro', 'demais', 'dói', 'o', 'meu', 'coração', 'que', 'roubou', 'tudo', 'o', 'que', 'você', 'sentia', 'e', 'jogou', 'fora', 'todas', 'as', 'alegrias', 'quantas', 'vezes', 'você', 'implorou', 'o', 'meu', 'amor', 'e', 'eu', 'nem', 'estava', 'aí', 'dizendo', 'que', 'acabou', 'me', 'perdoe', 'por', 'tudo', 'o', 'que', 'eu', 'te', 'fiz', 'minha', 'flor', 'quero', 'te', 'fazer', 'feliz', 'refrão', 'hoje', 'eu', 'cresci', 'e', 'o', 'tempo', 'passou', 'e', 'eu', 'percebi', 'que', 'tudo', 'mudou', 'vou', 'lutar', 'lutar', 'pra', 'valer', 'e', 'provar', 'que', 'ainda', 'amo', 'você', 'amor', 'eu', 'te', 'amei', 'e', 'você', 'não', 'entendeu', 'brincou', 'se', 'afastou', 'e', 'depois', 'se', 'arrependeu', 'eu', 'pensei', 'que', 'já', 'tinha', 'te', 'esquecido', 'mas', 'meu', 'coração', 'hoje', 'quer', 'você', 'comigo', 'eu', 'sei', 'que', 'a', 'culpa', 'é', 'sua', 'por', 'você', 'não', 'estar', 'aqui', 'amor', 'sofri', 'tanto', 'hoje', 'eu', 'quero', 'ser', 'feliz', 'e', 'apagar', 'todo', 'o', 'nosso', 'passado', 'e', 'viver', 'um', 'futuro', 'ao', 'seu', 'lado', 'repete', 'refrão']"
MC Marcinho,"['Funk Carioca', 'Rap', 'Funk']",Falando com as Estrelas,2002,PA Records,Quero Seu Amor,"['quero', 'seu', 'amor', 'minha', 'princesa', 'tanto', 'tempo', 'se', 'passou', 'até', 'pensava', 'que', 'acabou', 'nosso', 'amor', 'nas', 'noites', 'frias', 'eu', 'lembrava', 'de', 'você', 'e', 'hoje', 'eu', 'me', 'pergunto', 'como', 'fui', 'te', 'perder', 'naquele', 'dia', 'que', 'eu', 'te', 'vi', 'meu', 'coração', 'ia', 'explodir', 'e', 'o', 'teu', 'olhar', 'tocou', 'meu', 'coração', 'renascendo', 'a', 'paixão', 'quero', 'seu', 'amor', 'só', 'pra', 'mim', 'quero', 'te', 'fazer', 'bem', 'mais', 'feliz', 'esqueça', 'o', 'que', 'passou', 'vem', 'pra', 'cá', 'deixa', 'eu', 'te', 'querer', 'deixa', 'eu', 'te', 'amar', 'quero', 'seu', 'amor', 'só', 'pra', 'mim', 'quero', 'te', 'fazer', 'bem', 'mais', 'feliz', 'esqueça', 'o', 'que', 'passou', 'vem', 'pra', 'cá', 'deixa', 'eu', 'te', 'querer', 'deixa', 'eu', 'te', 'amar', 'olha', 'meu', 'amor', 'como', 'eu', 'sofri', 'queria', 'ter', 'você', 'e', 'você', 'não', 'estava', 'aqui', 'quando', 'chegava', 'a', 'noite', 'eu', 'começava', 'a', 'chorar', 'pedia', 'para', 'deus', 'pra', 'você', 'voltar', 'mas', 'você', 'não', 'voltou', 'e', 'o', 'tempo', 'se', 'passou', 'hoje', 'estou', 'aqui', 'frente', 'a', 'frente', 'a', 'ti', 'e', 'sei', 'que', 'não', 'te', 'esqueci', 'quero', 'seu', 'amor', 'só', 'pra', 'mim', 'quero', 'te', 'fazer', 'bem', 'mais', 'feliz', 'esqueça', 'o', 'que', 'passou', 'vem', 'pra', 'cá', 'deixa', 'eu', 'te', 'querer', 'deixa', 'eu', 'te', 'amar', 'quero', 'seu', 'amor', 'só', 'pra', 'mim', 'quero', 'te', 'fazer', 'bem', 'mais', 'feliz', 'esqueça', 'o', 'que', 'passou', 'vem', 'pra', 'cá', 'deixa', 'eu', 'te', 'querer', 'deixa', 'eu', 'te', 'amar']"
MC Marcinho,"['Funk Carioca', 'Rap', 'Funk']",Falando com as Estrelas,2002,PA Records,Catucar,
MC Marcinho,"['Funk Carioca', 'Rap', 'Funk']",Falando com as Estrelas,2002,PA Records,Glamourosa,
MC Marcinho,"['Funk Carioca', 'Rap', 'Funk']",Falando com as Estrelas,2002,PA Records,Sonhos,"['sonhos', 'amor', 'esperança', 'desejos', 'não', 'podem', 'faltar', 'será', 'que', 'você', 'já', 'se', 'apaixonou', 'já', 'viveu', 'enfim', 'um', 'grande', 'amor', 'vidas', 'desejos', 'detalhes', 'que', 'o', 'tempo', 'não', 'pode', 'explicar', 'cada', 'emoção', 'o', 'seu', 'coração', 'vai', 'viver', 'enfim', 'uma', 'louca', 'paixão', 'amar', 'é', 'viver', 'pois', 'eu', 'amo', 'você', 'te', 'quero', 'amor', 'meu', 'bem', 'querer', 'tudo', 'que', 'joguei', 'fora', 'todos', 'momentos', 'de', 'amor', 'larguei', 'pra', 'ficar', 'contigo', 'pra', 'sempre', 'pra', 'sempre', 'todas', 'as', 'minhas', 'canções', 'todas', 'as', 'minhas', 'paixões', 'larguei', 'pra', 'ficar', 'contigo', 'pra', 'sempre', 'pra', 'sempre', 'sinto', 'no', 'ar', 'um', 'perfume', 'o', 'arôma', 'da', 'mais', 'linda', 'flor', 'que', 'um', 'dia', 'enfim', 'nasce', 'no', 'jardim', 'eu', 'colhi', 'você', 'só', 'pra', 'mim', 'beijos', 'simples', 'abraços', 'momentos', 'que', 'ficam', 'no', 'ar', 'aí', 'vem', 'você', 'me', 'acariciar', 'me', 'mostrar', 'que', 'amor', 'é', 'simplesmente', 'amar', 'amor', 'ter', 'você', 'é', 'tudo', 'pra', 'mim', 'me', 'faz', 'um', 'bem', 'me', 'faz', 'feliz', 'tudo', 'que', 'joguei', 'fora', 'todos', 'momentos', 'de', 'amor', 'larguei', 'pra', 'ficar', 'contigo', 'pra', 'sempre', 'pra', 'sempre', 'todas', 'as', 'minhas', 'canções', 'todas', 'as', 'minhas', 'paixões', 'larguei', 'pra', 'ficar', 'contigo', 'pra', 'sempre', 'pra', 'sempre']"
MC Marcinho,"['Funk Carioca', 'Rap', 'Funk']",Falando com as Estrelas,2002,PA Records,Sonhos,"['sonhos', 'amor', 'esperança', 'desejos', 'não', 'podem', 'faltar', 'será', 'que', 'você', 'já', 'se', 'apaixonou', 'já', 'viveu', 'enfim', 'um', 'grande', 'amor', 'vidas', 'desejos', 'detalhes', 'que', 'o', 'tempo', 'não', 'pode', 'explicar', 'cada', 'emoção', 'o', 'seu', 'coração', 'vai', 'viver', 'enfim', 'uma', 'louca', 'paixão', 'amar', 'é', 'viver', 'pois', 'eu', 'amo', 'você', 'te', 'quero', 'amor', 'meu', 'bem', 'querer', 'tudo', 'que', 'joguei', 'fora', 'todos', 'momentos', 'de', 'amor', 'larguei', 'pra', 'ficar', 'contigo', 'pra', 'sempre', 'pra', 'sempre', 'todas', 'as', 'minhas', 'canções', 'todas', 'as', 'minhas', 'paixões', 'larguei', 'pra', 'ficar', 'contigo', 'pra', 'sempre', 'pra', 'sempre', 'sinto', 'no', 'ar', 'um', 'perfume', 'o', 'arôma', 'da', 'mais', 'linda', 'flor', 'que', 'um', 'dia', 'enfim', 'nasce', 'no', 'jardim', 'eu', 'colhi', 'você', 'só', 'pra', 'mim', 'beijos', 'simples', 'abraços', 'momentos', 'que', 'ficam', 'no', 'ar', 'aí', 'vem', 'você', 'me', 'acariciar', 'me', 'mostrar', 'que', 'amor', 'é', 'simplesmente', 'amar', 'amor', 'ter', 'você', 'é', 'tudo', 'pra', 'mim', 'me', 'faz', 'um', 'bem', 'me', 'faz', 'feliz', 'tudo', 'que', 'joguei', 'fora', 'todos', 'momentos', 'de', 'amor', 'larguei', 'pra', 'ficar', 'contigo', 'pra', 'sempre', 'pra', 'sempre', 'todas', 'as', 'minhas', 'canções', 'todas', 'as', 'minhas', 'paixões', 'larguei', 'pra', 'ficar', 'contigo', 'pra', 'sempre', 'pra', 'sempre']"
MC Marcinho,"['Funk Carioca', 'Rap', 'Funk']",Falando com as Estrelas,2002,PA Records,Por Você,"['vou', 'gritar', 'me', 'expressar', 'e', 'tudo', 'isso', 'poderá', 'ser', 'bom', 'pra', 'você', 'entender', 'que', 'eu', 'canto', 'para', 'você', 'me', 'compreender', 'que', 'é', 'bom', 'estar', 'feliz', 'com', 'alguém', 'que', 'te', 'ame', 'e', 'te', 'queira', 'também', 'por', 'você', 'ficarei', 'esperando', 'ate', 'o', 'dia', 'amanhecer', 'só', 'pra', 'vê', 'seu', 'olhar', 'com', 'aquele', 'jeitinho', 'de', 'quem', 'quer', 'me', 'amar', 'não', 'vai', 'dá', 'pra', 'suportar', 'eu', 'quero', 'te', 'ter', 'vou', 'te', 'amar', 'ate', 'o', 'amanhecer', 'vou', 'gritar', 'me', 'expressar', 'e', 'tudo', 'isso', 'poderá', 'ser', 'bom', 'pra', 'você', 'entender', 'que', 'eu', 'canto', 'para', 'você', 'me', 'compreender', 'vou', 'lhe', 'dá', 'vou', 'gritaaa', 'os', 'segredos', 'do', 'meu', 'coração', 'eu', 'só', 'posso', 'revelar', 'pra', 'você', 'que', 'jurou', 'para', 'sempre', 'me', 'amar', 'o', 'destino', 'só', 'pertence', 'a', 'deus', 'e', 'enquanto', 'ele', 'quiser', 'ter', 'em', 'teus', 'abraços', 'meus', 'não', 'vou', 'me', 'deixar', 'levar', 'pela', 'emoção', 'para', 'não', 'sofrer', 'o', 'meu', 'pobre', 'coração', 'vou', 'gritar', 'me', 'expressar', 'e', 'tudo', 'isso', 'poderá', 'ser', 'bom', 'pra', 'você', 'entender', 'que', 'eu', 'canto', 'para', 'você', 'me', 'compreender', 'vou', 'gritaaa', 'vou', 'gritaaa', 'que', 'é', 'bom', 'estar', 'feliz', 'com', 'alguém', 'que', 'te', 'ame', 'e', 'te', 'queira', 'também', 'vou', 'grita', 'vou', 'grita', 'me', 'expressar', 'e', 'tudo', 'isso', 'poderá', 'ser', 'bom', 'pra', 'você', 'entender', 'que', 'eu', 'canto', 'para', 'você', 'me', 'compreender', 'que', 'é', 'bom', 'estar', 'feliz', 'com', 'alguém', 'que', 'te', 'ame', 'e', 'te', 'queira', 'também', 'pois', 'por', 'você', 'ficarei', 'esperando', 'ate', 'o', 'dia', 'amanhecer', 'só', 'pra', 'vê', 'seu', 'olhar', 'com', 'aquele', 'jeitinho', 'de', 'quem', 'quer', 'me', 'amar', 'não', 'vai', 'dá', 'pra', 'suporta', 'eu', 'quero', 'te', 'ter', 'vou', 'te', 'amar', 'ate', 'o', 'amanhecer', 'vou', 'grita', 'me', 'expressar', 'e', 'tudo', 'isso', 'poderá', 'ser', 'bom', 'pra', 'você', 'entender', 'que', 'eu', 'canto', 'para', 'você', 'me', 'compreender', 'vou', 'gritaaa', 'vou', 'gritaaa', 'os', 'segredos', 'do', 'meu', 'coração', 'eu', 'só', 'posso', 'revelar', 'pra', 'você', 'que', 'jurou', 'para', 'sempre', 'me', 'amar', 'o', 'destino', 'só', 'pertence', 'a', 'deus', 'e', 'enquanto', 'ele', 'quiser', 'ter', 'em', 'teus', 'braços', 'os', 'meus', 'não', 'vou', 'me', 'deixar', 'levar', 'pela', 'emoção', 'para', 'não', 'sofrer', 'o', 'meu', 'pobre', 'coração', 'vou', 'grita', 'me', 'expressar', 'e', 'tudo', 'isso', 'poderá', 'ser', 'bom', 'pra', 'você', 'entender', 'que', 'eu', 'canto', 'para', 'você', 'me', 'compreender', 'vou', 'lhe', 'dá', 'áááááá', 'vou', 'lhe', 'dá', 'áááááá', 'que', 'é', 'bom', 'estar', 'feliz', 'com', 'alguém', 'que', 'te', 'ame', 'e', 'te', 'queira', 'também', 'vou', 'grita']"
