artist,tags,album,year,record_label,title,lyrics
O Rappa,"['Reggae', 'Rap', 'Rock']",Acústico Oficina Francisco Brennand,2016,Warner Music,Pescador de Ilusões,"['se', 'meus', 'joelhos', 'não', 'doessem', 'mais', 'diante', 'de', 'um', 'bom', 'motivo', 'que', 'me', 'traga', 'fé', 'que', 'me', 'traga', 'fé', 'se', 'por', 'alguns', 'segundos', 'eu', 'observar', 'e', 'só', 'observar', 'a', 'isca', 'e', 'o', 'anzol', 'a', 'isca', 'e', 'o', 'anzol', 'a', 'isca', 'e', 'o', 'anzol', 'a', 'isca', 'e', 'o', 'anzol', 'ainda', 'assim', 'estarei', 'pronto', 'pra', 'comemorar', 'se', 'eu', 'me', 'tornar', 'menos', 'faminto', 'que', 'curioso', 'curioso', 'o', 'mar', 'escuro', 'é', 'trará', 'o', 'medo', 'lado', 'a', 'lado', 'com', 'os', 'corais', 'mais', 'coloridos', 'valeu', 'a', 'pena', 'ê', 'ê', 'valeu', 'a', 'pena', 'ê', 'ê', 'sou', 'pescador', 'de', 'ilusões', 'sou', 'pescador', 'de', 'ilusões', 'bis', 'se', 'eu', 'ousar', 'catar', 'na', 'superfície', 'de', 'qualquer', 'manhã', 'as', 'palavras', 'de', 'um', 'livro', 'sem', 'final', 'sem', 'final', 'sem', 'final', 'sem', 'final', 'final', 'valeu', 'a', 'pena', 'ê', 'ê', 'valeu', 'a', 'pena', 'ê', 'ê', 'sou', 'pescador', 'de', 'ilusões', 'sou', 'pescador', 'de', 'ilusões', 'bis', 'se', 'eu', 'ousar', 'catar', 'na', 'superfície', 'de', 'qualquer', 'manhã', 'as', 'palavras', 'de', 'um', 'livro', 'sem', 'final', 'sem', 'final', 'sem', 'final', 'sem', 'final', 'final', 'valeu', 'a', 'pena', 'ê', 'ê', 'valeu', 'a', 'pena', 'ê', 'ê', 'sou', 'pescador', 'de', 'ilusões', 'sou', 'pescador', 'de', 'ilusões', 'bis']"
O Rappa,"['Reggae', 'Rap', 'Rock']",Acústico Oficina Francisco Brennand,2016,Warner Music,Anjos (Pra Quem Tem Fé),"['oh', 'lord', 'oh', 'lord', 'oh', 'lord', 'oh', 'lord', 'lord', 'lord', 'lord', 'lord', 'oh', 'lord', 'oh', 'lord', 'oh', 'lord', 'oh', 'lord', 'lord', 'lord', 'lord', 'lord', 'em', 'algum', 'lugar', 'pra', 'relaxar', 'eu', 'vou', 'pedir', 'pros', 'anjos', 'cantarem', 'por', 'mim', 'pra', 'quem', 'tem', 'fé', 'a', 'vida', 'nunca', 'tem', 'fim', 'não', 'tem', 'fim', 'é', 'se', 'você', 'não', 'aceita', 'o', 'conselho', 'te', 'respeito', 'resolveu', 'seguir', 'ir', 'atrás', 'cara', 'e', 'coragem', 'só', 'que', 'você', 'sai', 'em', 'desvantagem', 'se', 'você', 'não', 'tem', 'fé', 'se', 'você', 'não', 'tem', 'fé', 'te', 'mostro', 'um', 'trecho', 'uma', 'passagem', 'de', 'um', 'livro', 'antigo', 'pra', 'te', 'provar', 'e', 'mostrar', 'que', 'a', 'vida', 'é', 'linda', 'dura', 'sofrida', 'carente', 'em', 'qualquer', 'continente', 'mas', 'boa', 'de', 'se', 'viver', 'em', 'qualquer', 'lugar', 'é', 'volte', 'a', 'brilhar', 'volte', 'a', 'brilhar', 'um', 'vinho', 'um', 'pão', 'e', 'uma', 'reza', 'uma', 'lua', 'e', 'um', 'sol', 'sua', 'vida', 'portas', 'abertas', 'em', 'algum', 'lugar', 'pra', 'relaxar', 'eu', 'vou', 'pedir', 'pros', 'anjos', 'cantarem', 'por', 'mim', 'pra', 'quem', 'tem', 'fé', 'a', 'vida', 'nunca', 'tem', 'fim', 'não', 'tem', 'fim', 'em', 'algum', 'lugar', 'pra', 'relaxar', 'eu', 'vou', 'pedir', 'pros', 'anjos', 'cantarem', 'por', 'mim', 'pra', 'quem', 'tem', 'fé', 'a', 'vida', 'nunca', 'tem', 'fim', 'oh', 'lord', 'oh', 'lord', 'oh', 'lord', 'oh', 'lord', 'lord', 'lord', 'lord', 'lord', 'oh', 'lord', 'oh', 'lord', 'oh', 'lord', 'oh', 'lord', 'lord', 'lord', 'lord', 'lord', 'mostro', 'um', 'trecho', 'uma', 'passagem', 'de', 'um', 'livro', 'antigo', 'pra', 'te', 'provar', 'e', 'mostrar', 'que', 'a', 'vida', 'é', 'linda', 'dura', 'sofrida', 'carente', 'em', 'qualquer', 'continente', 'mas', 'boa', 'de', 'se', 'viver', 'em', 'qualquer', 'lugar', 'podem', 'até', 'gritar', 'gritar', 'podem', 'até', 'barulho', 'então', 'fazer', 'ninguém', 'vai', 'te', 'escutar', 'se', 'não', 'tem', 'fé', 'ninguém', 'mais', 'vai', 'te', 'ver', 'inclinar', 'seu', 'olhar', 'sobre', 'nós', 'e', 'cuidar', 'inclinar', 'seu', 'olhar', 'sobre', 'nós', 'e', 'cuidar', 'inclinar', 'seu', 'olhar', 'sobre', 'nós', 'e', 'cuidar', 'inclinar', 'seu', 'olhar', 'sobre', 'nós', 'e', 'cuidar', 'pra', 'você', 'pode', 'ser', 'em', 'algum', 'lugar', 'pra', 'relaxar', 'eu', 'vou', 'pedir', 'pros', 'anjos', 'cantarem', 'por', 'mim', 'pra', 'quem', 'tem', 'fé', 'a', 'vida', 'nunca', 'tem', 'fim', 'pra', 'você', 'pode', 'ser', 'pode', 'ser', 'pra', 'você', 'pode', 'ser', 'nunca', 'tem', 'fim', 'a', 'fé', 'na', 'vitória', 'tem', 'que', 'ser', 'inabalável', 'nunca', 'tem', 'fim', 'a', 'fé', 'na', 'vitória', 'tem', 'que', 'ser', 'inabalável', 'nunca', 'tem', 'fim', 'a', 'fé', 'na', 'vitória', 'tem', 'que', 'ser', 'inabalável', 'oh', 'lord', 'oh', 'lord', 'oh', 'lord', 'oh', 'lord', 'em', 'algum', 'lugar', 'pra', 'relaxar', 'eu', 'vou', 'pedir', 'pros', 'anjos', 'cantarem', 'por', 'mim', 'pra', 'quem', 'tem', 'fé', 'a', 'vida', 'nunca', 'tem', 'fim', 'em', 'algum', 'lugar', 'pra', 'relaxar', 'eu', 'vou', 'pedir', 'pros', 'anjos', 'cantarem', 'por', 'mim', 'pra', 'quem', 'tem', 'fé', 'fé', 'fé', 'a', 'vida', 'nunca', 'tem', 'fim', 'a', 'fé', 'na', 'vitória', 'tem', 'que', 'ser', 'inabalável', 'pra', 'você', 'pode', 'ser', 'pra', 'você', 'pode', 'ser', 'pra', 'você', 'pode', 'ser', 'em', 'algum', 'lugar', 'pra', 'relaxar', 'eu', 'vou', 'pedir', 'pros', 'anjos', 'cantarem', 'por', 'mim', 'pra', 'quem', 'tem', 'fé', 'a', 'vida', 'nunca', 'tem', 'fim', 'não', 'tem', 'fim']"
O Rappa,"['Reggae', 'Rap', 'Rock']",Acústico Oficina Francisco Brennand,2016,Warner Music,Vários Holofotes,"['vários', 'holofotes', 'ligados', 'aqui', 'água', 'do', 'banho', 'já', 'aqueceu', 'crianças', 'correm', 'pra', 'fora', 'do', 'campinho', 'quem', 'sabe', 'aqui', 'dentro', 'o', 'que', 'acontece', 'sou', 'eu', 'é', 'um', 'estado', 'de', 'sítio', 'diário', 'o', 'muro', 'é', 'alto', 'e', 'contém', 'a', 'enchente', 'um', 'limite', 'de', 'arame', 'farpado', 'não', 'acaba', 'com', 'a', 'fome', 'com', 'a', 'fome', 'da', 'gente', 'o', 'chão', 'que', 'pinga', 'o', 'teto', 'infiltrado', 'é', 'o', 'risco', 'de', 'alerta', 'ligado', 'sinto', 'medo', 'no', 'espaço', 'apertado', 'é', 'o', 'risco', 'de', 'alerta', 'de', 'alerta', 'ligado', 'vários', 'holofotes', 'ligados', 'aqui', 'água', 'do', 'banho', 'já', 'aqueceu', 'crianças', 'correm', 'pra', 'fora', 'do', 'campinho', 'quem', 'sabe', 'aqui', 'dentro', 'o', 'que', 'acontece', 'sou', 'eu', 'coração', 'síncope', 'ritmada', 'me', 'protege', 'dos', 'meus', 'sentimentos', 'o', 'santo', 'dorme', 'o', 'santo', 'dai', 'me', 'muita', 'coisa', 'de', 'bom', 'que', 'acontece', 'com', 'a', 'gente', 'o', 'sol', 'deixou', 'de', 'ser', 'paisagem', 'e', 'passou', 'a', 'queimar', 'de', 'repente', 'o', 'sol', 'deixou', 'de', 'ser', 'paisagem', 'e', 'passou', 'a', 'queimar', 'de', 'repente', 'olho', 'a', 'tv', 'e', 'o', 'rádio', 'ligado', 'não', 'suportam', 'a', 'imensa', 'gritaria', 'já', 'não', 'há', 'mais', 'o', 'barulho', 'lá', 'fora', 'foi', 'selada', 'a', 'falsa', 'calmaria', 'águas', 'lavam', 'o', 'chão', 'da', 'evidência', 'na', 'área', 'mansa', 'ela', 'é', 'testemunha', 'no', 'silêncio', 'não', 'existe', 'flagrante', 'foi', 'lavado', 'o', 'asfalto', 'com', 'cunha', 'vários', 'holofotes', 'ligados', 'aqui', 'água', 'do', 'banho', 'já', 'aqueceu', 'vários', 'holofotes', 'ligados', 'aqui', 'água', 'do', 'banho', 'já', 'aqueceu', 'crianças', 'correm', 'pra', 'fora', 'do', 'campinho', 'quem', 'sabe', 'aqui', 'dentro', 'o', 'que', 'acontece', 'sou', 'eu']"
O Rappa,"['Reggae', 'Rap', 'Rock']",Acústico Oficina Francisco Brennand,2016,Warner Music,Cruz de Tecido,"['olhos', 'em', 'pânico', 'refletem', 'as', 'chamas', 'que', 'cruzam', 'o', 'céu', 'da', 'avenida', 'de', 'encontro', 'a', 'estrutura', 'de', 'aço', 'e', 'concreto', 'muitas', 'almas', 'perdidas', 'a', 'música', 'chama', 'atenção', 'da', 'nação', 'chocando', 'a', 'sociedade', 'no', 'plantão', 'que', 'conta', 'a', 'triste', 'verdade', 'se', 'chocou', 'o', 'grande', 'pássaro', 'de', 'aço', 'às', 'custas', 'da', 'imprecisão', 'não', 'tendo', 'estrutura', 'pra', 'bater', 'as', 'asas', 'não', 'tire', 'os', 'do', 'chão', 'jornais', 'preto', 'e', 'branco', 'impressos', 'em', 'cores', 'números', 'a', 'não', 'se', 'contar', '199', 'a', 'soma', 'do', 'caos', 'ninguém', 'a', 'se', 'pronunciar', 'rosas', 'coloridas', 'em', 'branca', 'cruz', 'de', 'tecido', 'provando', 'a', 'impunidade', 'e', 'o', 'descaso', 'com', 'que', 'faz', 'um', 'simples', 'pedido', 'quem', 'foi', 'e', 'você', 'sabe', 'quem', 'é', 'quem', 'foi', 'e', 'depois', 'você', 'sabe', 'como', 'é', 'o', 'fim', 'da', 'espera', 'e', 'a', 'certeza', 'da', 'dor', 'a', 'confirmação', 'dos', 'nossos', 'mortos', 'é', 'o', 'fim', 'comprovado', 'na', 'angústia', 'de', 'nossos', 'velórios', 'sem', 'corpos', 'a', 'babel', 'civil', 'militar', 'babilônia', 'esta', 'formada', 'controladores', 'sem', 'controles', 'e', 'uma', 'tragedia', 'anunciada', 'quem', 'foi', 'e', 'você', 'sabe', 'quem', 'é', 'quem', 'foi', 'o', 'responsável', 'pela', 'dor', 'de', 'tanta', 'gente']"
O Rappa,"['Reggae', 'Rap', 'Rock']",Acústico Oficina Francisco Brennand,2016,Warner Music,Hóstia,"['os', 'que', 'sobravam', 'encostados', 'no', 'balcão', 'ali', 'permaneciam', 'nos', 'trabalhos', 'em', 'meio', 'ao', 'ar', 'parado', 'não', 'se', 'ouve', 'tiros', 'não', 'há', 'estardalhaço', 'bicho', 'gente', 'bicho', 'grilo', 'quero', 'que', 'se', 'dane', 'olhos', 'de', 'injeção', 'gatos', 'humanos', 'espreitam', 'choram', 'mimados', 'meu', 'rango', 'não', 'dividiria', 'com', 'qualquer', 'animal', 'meu', 'prato', 'de', 'domingo', 'a', 'carne', 'assada', 'é', 'o', 'principal', 'mesmo', 'um', 'mendigo', 'elegante', 'da', 'rua', 'prato', 'bonito', 'ou', 'feio', 'minha', 'cabana', 'minha', 'angústia', 'meu', 'escudo', 'minha', 'hóstia', 'meu', 'escudo', 'é', 'minha', 'hóstia', 'sentia', 'proteção', 'infantil', 'mas', 'permanecia', 'assustado', 'acuado', 'em', 'situação', 'hiena', 'não', 'sou', 'carne', 'barata', 'varejo', 'imaginado', 'pedaço', 'do', 'atacado', 'que', 'pena']"
O Rappa,"['Reggae', 'Rap', 'Rock']",Acústico Oficina Francisco Brennand,2016,Warner Music,Bitterusso Champagne,"['um', 'brinde', 'com', 'taça', 'de', 'vinho', 'cheiro', 'de', 'asfalto', 'no', 'sangue', 'um', 'atalho', 'com', 'fuzil', 'no', 'caminho', 'no', 'cardápio', 'biterrusso', 'champagne', 'um', 'atalho', 'com', 'fuzil', 'no', 'caminho', 'no', 'cardápio', 'biterrusso', 'champagne', 'cordão', 'de', 'fé', 'tirado', 'do', 'peito', 'e', 'uma', 'luz', 'no', 'fim', 'do', 'presidio', 'mais', 'um', 'buraco', 'cavado', 'às', 'pressas', 'pra', 'aliviar', 'o', 'suplicio', 'a', 'esperança', 'no', 'orificio', 'na', 'revolução', 'quanto', 'mais', 'tiram', 'de', 'nós', 'lá', 'dentro', 'corrupção', 'os', 'atendados', 'civis', 'viram', 'showmicio', 'dos', 'que', 'nunca', 'estão', 'no', 'controle', 'dos', 'que', 'nunca', 'estão', 'no', 'controle', 'e', 'vão', 'crescendo', 'os', 'vicios', '4x', 'caído', 'por', 'terra', '2x', 'pela', 'batalha', 'caído', 'por', 'terra', '2x', 'pelo', 'discurso', 'caído', 'por', 'terra', '2x', 'pela', 'batalha', 'caído', 'por', 'terra', '2x', 'pelo', 'discurso', 'sofrimentos', 'pra', 'alguns', 'é', 'ser', 'feliz', 'pra', 'quem', 'nunca', 'teve', 'nada', 'um', 'sonho', 'é', 'tudo', 'que', 'sempre', 'quis', 'sofrimentos', 'pra', 'alguns', 'é', 'ser', 'feliz', 'pra', 'quem', 'nunca', 'teve', 'nada', 'um', 'sonho', 'é', 'tudo', 'que', 'sempre', 'quis']"
O Rappa,"['Reggae', 'Rap', 'Rock']",Acústico Oficina Francisco Brennand,2016,Warner Music,Sentimento,"['o', 'amor', 'é', 'um', 'mar', 'difícil', 'tão', 'fácil', 'de', 'se', 'ver', 'e', 'admirar', 'todo', 'amor', 'é', 'um', 'artifício', 'que', 'não', 'acaba', 'e', 'que', 'ninguém', 'pode', 'mudar', 'guardo', 'tanto', 'tempo', 'em', 'mim', 'tudo', 'só', 'pra', 'te', 'mostrar', 'que', 'vai', 'valer', 'a', 'pena', 'de', 'verdade', 'guardo', 'tanto', 'tempo', 'em', 'mim', 'tudo', 'só', 'pra', 'te', 'mostrar', 'que', 'o', 'amor', 'é', 'tudo', 'o', 'que', 'me', 'interessa', 'o', 'amor', 'é', 'um', 'mar', 'difícil', 'tão', 'fácil', 'de', 'se', 'ver', 'e', 'admirar', 'todo', 'amor', 'é', 'um', 'artifício', 'que', 'não', 'acaba', 'e', 'que', 'ninguém', 'pode', 'mudar', 'guardo', 'tanto', 'tempo', 'em', 'mim', 'tudo', 'só', 'pra', 'te', 'mostrar', 'que', 'vai', 'valer', 'a', 'pena', 'de', 'verdade', 'guardo', 'tanto', 'tempo', 'em', 'mim', 'tudo', 'só', 'pra', 'te', 'mostrar', 'que', 'o', 'amor', 'é', 'tudo', 'o', 'que', 'me', 'interessa', 'guardo', 'tanto', 'tempo', 'em', 'mim', 'tudo', 'só', 'pra', 'te', 'mostrar', 'que', 'vai', 'valer', 'a', 'pena', 'de', 'verdade', 'guardo', 'tanto', 'tempo', 'em', 'mim', 'tudo', 'só', 'pra', 'te', 'mostrar', 'que', 'o', 'amor', 'guardo', 'tanto', 'tempo', 'em', 'mim', 'tudo', 'só', 'pra', 'te', 'mostrar', 'que', 'vai', 'valer', 'a', 'pena', 'de', 'verdade', 'guardo', 'tanto', 'tempo', 'em', 'mim', 'tudo', 'só', 'pra', 'te', 'mostrar', 'que', 'o', 'amor', 'é', 'tudo', 'o', 'que', 'me', 'interessa']"
O Rappa,"['Reggae', 'Rap', 'Rock']",Acústico Oficina Francisco Brennand,2016,Warner Music,Não Vão Me Matar,"['eu', 'não', 'quero', 'mais', 'saber', 'de', 'sofrer', 'não', 'não', 'quero', 'não', '4x', 'me', 'contam', 'histórias', 'diferentes', 'achando', 'que', 'eu', 'vou', 'acreditar', 'enganam', 'o', 'povo', 'com', 'promessas', 'tentando', 'induzi', 'los', 'a', 'mudar', 'que', 'a', 'consciência', 'do', 'ser', 'humano', 'de', 'repente', 'pode', 'até', 'falhar', 'quem', 'bate', 'esquece', 'quem', 'apanha', 'e', 'quem', 'apanha', 'quer', 'se', 'vingar', 'criticam', 'a', 'raça', 'tão', 'bonita', 'que', 'é', 'capaz', 'de', 'aguentar', 'torturas', 'humilhações', 'à', 'parte', 'podem', 'pisar', 'mas', 'não', 'vão', 'me', 'matar', 'contando', 'a', 'verdade', 'falando', 'da', 'vida', 'contando', 'história', 'falando', 'de', 'amor', 'brigando', 'com', 'a', 'vida', 'pra', 'ser', 'mais', 'feliz', 'não', 'vão', 'me', 'matar', '2x', 'eu', 'não', 'quero', 'mais', 'saber', 'de', 'sofrer', 'não', 'não', 'quero', 'não', '4x', 'me', 'contam', 'histórias', 'diferentes', 'achando', 'que', 'eu', 'vou', 'acreditar', 'enganam', 'o', 'povo', 'com', 'promessas', 'tentando', 'induzi', 'los', 'a', 'acreditar', 'que', 'a', 'consciência', 'do', 'ser', 'humano', 'de', 'repente', 'pode', 'até', 'falhar', 'quem', 'bate', 'esquece', 'quem', 'apanha', 'e', 'quem', 'apanha', 'quer', 'se', 'vingar', 'criticam', 'a', 'raça', 'tão', 'bonita', 'que', 'é', 'capaz', 'de', 'aguentar', 'torturas', 'humilhações', 'à', 'parte', 'podem', 'pisar', 'mas', 'não', 'vão', 'me', 'matar', 'contando', 'a', 'verdade', 'falando', 'da', 'vida', 'contando', 'história', 'falando', 'de', 'amor', 'brigando', 'com', 'a', 'vida', 'pra', 'ser', 'mais', 'feliz', 'não', 'vão', 'me', 'matar', '4x', '__________________________________________________________________']"
O Rappa,"['Reggae', 'Rap', 'Rock']",Acústico Oficina Francisco Brennand,2016,Warner Music,Intervalo Entre Carros,"['ela', 'molhada', 'espera', 'o', 'busum', 'na', 'calçada', 'parada', 'mas', 'não', 'passa', 'nenhum', 'só', 'sempre', 'só', 'no', 'ponto', 'de', 'ônibus', 'ela', 'se', 'safa', 'de', 'qualquer', 'um', 'caô', 'com', 'ela', 'não', 'rola', 'nenhum', 'só', 'sempre', 'só', 'no', 'ponto', 'de', 'ônibus', 'ela', 'enfrenta', 'como', 'fez', 'ogum', 'rainha', 'do', 'asfalto', 'derruba', 'um', 'por', 'um', 'só', 'sempre', 'só', 'no', 'ponto', 'de', 'ônibus', 'não', 'é', 'bonita', 'nem', 'grande', 'do', 'rosto', 'escorre', 'uma', 'gota', 'd', 'água', 'e', 'a', 'alma', 'chora', 'sangue', 'vem', 'que', 'vem', 'vem', 'que', 'vem', 'olho', 'de', 'vidro', 'que', 'te', 'cobre', 'a', 'ambição', 'é', 'pequena', 'alegria', 'de', 'pó', 'bre', 'uma', 'menina', 'mulher', 'que', 'não', 'anda', 'de', 'salto', 'sou', 'seu', 'cavaleiro', 'desde', 'pequeno', 'por', 'você', 'planejava', 'assalto']"
O Rappa,"['Reggae', 'Rap', 'Rock']",Acústico Oficina Francisco Brennand,2016,Warner Music,7 Vezes,"['deixa', 'o', 'mundo', 'avisar', 'de', 'teu', 'nome', 'sete', 'vezes', 'escrevi', 'o', 'seu', 'nome', 'deixa', 'o', 'mundo', 'avisar', 'de', 'teu', 'nome', 'num', 'mundo', 'assim', 'bem', 'grande', 'sete', 'vezes', 'escrevi', 'seu', 'nome', 'num', 'mundo', 'assim', 'bem', 'grande', 'sete', 'vezes', 'escrevi', 'será', 'que', 'é', 'é', 'fato', 'necessário', 'diz', 'que', 'é', 'é', 'insistir', 'e', 'repetir', 'que', 'é', 'é', 'todas', 'as', 'portas', 'abrir', 'será', 'que', 'é', 'é', 'fato', 'necessário', 'diz', 'que', 'é', 'é', 'insistir', 'e', 'repetir', 'que', 'é', 'é', 'todas', 'as', 'portas', 'vão', 'se', 'abrir', 'castigo', 'será', 'que', 'obrigatório', 'estudar', 'pra', 'ter', 'vocabulário', 'é', 'obrigatório', '2x', 'será', 'que', 'é', 'preciso', 'pensar', 'engraçado', 'é', 'andar', 'pra', 'trás', 'ao', 'contrário', 'colorir', 'tudo', 'de', 'amor', 'inventar', 'um', 'novo', 'jeito', 'de', 'brincar', 'saber', 'perder', 'é', 'saber', 'perder', 'é', 'saber', 'perder', 'alguma', 'coisa', 'pra', 'sobreviver', '4x']"
